repetitions,orthographic_form,length
10476,constitutional,14
59578,affairs,7
236294,committee,9
216,discusses,9
2568,pan,3
600968,european,8
68138,political,9
27887,parties,7
49434,institutions,12
3192225,to,2
49949,date,4
83224,there,5
373174,are,3
12118,recognised,10
1417,©,1
3,westend,7
405,belga,5
40219,current,7
126042,rules,5
4863,deemed,6
9265,too,3
3388,restrictive,11
21251,allow,5
11480,real,4
138403,development,11
34147,many,4
5880,want,4
21362,see,3
656,emerge,6
8722315,the,3
625,steady,6
1411,emergence,9
4654736,of,2
890681,that,4
22345,cross,5
130452,national,8
722,boundaries,10
262540,has,3
162855,been,4
1490999,a,1
1445,feature,7
1249,landscape,9
309511,at,2
46728,present,7
166583,such,4
62,spanning,8
8065,left,4
42493,right,5
3828,spectrum,8
26876,recent,6
9571,hearing,7
1439749,on,2
44562,january,7
853580,by,2
339488,parliament,10
229882,'s,2
2265,debated,7
79118,legal,5
3159975,and,3
142995,financial,9
24217,problems,8
108055,they,4
25253,continue,8
6447,face,4
2342172,in,2
6532,preventing,10
50641,them,4
4427,reaching,8
4992,wider,5
491,audience,8
58274,situation,9
134615,was,3
1865,criticised,10
600316,as,2
59468,being,5
48172,both,4
1148,unclear,7
249,wilfried,8
1018,martens,7
64708,people,6
19181,party,5
32659,said,4
57068,he,2
1194,hoped,5
19868,next,4
12393,step,4
108552,would,5
737315,be,2
7223,t,1
16296,creation,8
63668,specific,8
5683,fiscal,6
5943,statute,7
1391344,for,3
365853,eu,2
3031,philip,6
1,cordery,7
12100,secretary,9
83906,general,7
1331,socialists,10
13704,pes,3
25389,clear,5
239757,should,6
27473,us,2
14322,conduct,7
4047,campaigns,9
5599,candidates,10
813014,commission,10
5557,campaign,8
41607,during,6
253,referenda,9
4,jesper,6
2,katz,4
8978,executive,9
12147,director,8
5079,alliance,8
837,conservatives,13
581,reformists,10
1,aecr,4
2585,thought,7
6116,whilst,6
166,dick,4
15646,van,3
6,dijk,4
5630,christian,9
15719,movement,8
20984,called,6
9851,rather,6
2788,monica,6
2064,frassoni,8
11860,green,5
9,egp,3
150786,also,4
1429,meant,5
31225,we,2
43541,do,2
334461,not,3
240295,have,4
4161,enough,6
5282,identity,8
47481,citizens,8
4396,whom,4
20266,address,7
15133,greek,5
5285,mep,3
293,marietta,8
590,giannakou,9
26341,epp,3
708146,is,2
53903,rapporteur,10
439161,this,4
33392,issue,5
14933,she,3
3029,told,4
1976,w,1
50377,e,1
69004,need,4
6514,space,5
14216,bring,5
4618,core,4
156307,union,5
22540,help,4
209219,their,5
15972,every,5
15976,day,3
22254,life,4
1839,went,4
15045,say,3
173385,new,3
5866,mean,4
26386,aware,5
5145,participating,13
66,signifies,9
19308,covered,7
92788,law,3
168351,rights,6
21501,obligations,11
43278,how,3
7646,funded,6
38763,funding,7
58134,through,7
13871,maximum,7
22842,private,7
1298,donation,8
170892,no,2
676,donations,9
297756,from,4
119952,public,6
25815,companies,9
2984,controlled,10
132984,state,5
10403,limits,6
13309,much,4
113924,can,3
22961,give,4
55,curbs,5
137356,any,3
94097,within,6
6076,british,7
2011,liberal,7
1491,andrew,6
1943,duff,4
6562,highly,6
6458,critical,8
49446,about,5
72732,system,6
193137,regulation,10
90504,support,7
1567,prohibits,9
82336,level,5
