repetitions,orthographic_form,length
4864,/c,2
4668,e/,2
89459,pregunta,8
64995,escrita,7
59056,e-/,3
8500429,de,2
176,hanja,5
202,maij,4
200,weggen,6
39890,ppe,3
2145845,a,1
4902070,la,2
758345,comisión,8
44640,diciembre,9
86525,asunto,6
6780,detención,9
1676,juan,4
3277,carlos,6
2781,gonzález,8
18,leiva,5
3118,sabe,4
2117626,que,3
67943,presidente,10
3961,fundación,9
136539,derechos,8
71312,humanos,7
2423,cuba,4
2495310,y,1
50,hermandad,9
160,invidentes,10
7018,independientes,14
59602,está,4
223,preso,5
43317,desde,5
36797,marzo,5
2597172,en,2
5,holguín,7
7940,véase,5
74744,do,2
68728,c,1
115451,e,1
74749,p,1
5949,igualmente,10
151520,este,4
1341,hombre,6
2258,sometido,8
1335,malos,5
2289,tratos,6
106,palizas,7
1014,corre,5
2596948,el,2
27681,riesgo,6
190,morir,5
29,inanición,9
3213,dispuesta,9
3066,intervenir,10
584,presionar,9
1601097,las,3
73141,autoridades,11
423,cubanas,7
856805,para,4
710,dejen,5
4015,tratar,6
34221,manera,6
738,violenta,8
2149402,los,3
3784,defensores,10
1447,cristian,8
461,silviu,6
891,buşoi,5
17863,alde,4
33679,noviembre,9
57812,situación,9
2009,minoría,7
955,rumano,6
7,valaca,6
21425,región,6
1642105,del,3
3152,serbia,6
41009,según,5
130313,informe,7
31818,d,1
1329,jürgen,6
5,herrmann,8
27794,febrero,7
99114,marco,5
36766,comité,6
59193,asuntos,7
5380,legislativos,12
9179,asamblea,8
12418,parlamentaria,13
318487,consejo,7
58925,europa,6
5,timoc,5
2,morava,6
1854,valle,5
1220,danubio,7
240777,es,2
11067,claramente,10
5880,inferior,8
4223,comparación,11
728045,con,3
6021,minorías,8
1,voievodina,10
23295,teniendo,8
75465,cuenta,6
28966,hecho,5
177884,ha,2
36005,sido,4
1679,reconocida,10
302397,como,4
9130,potencial,9
100843,estado,6
3553,candidato,9
20275,adhesión,8
171063,unión,5
234522,europea,7
11957,habida,6
892138,se,2
1040,inició,6
640737,un,2
107139,acuerdo,7
3268,estabilización,14
27265,asociación,10
46220,país,4
2778,deseo,5
256,preguntar,9
70544,qué,3
11182,métodos,7
46128,tiene,5
540,pensado,7
9154,utilizar,8
28334,mejorar,7
14574,estatuto,8
22391,zonas,5
2302,arriba,6
5419,mencionadas,11
32200,medida,6
