repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
23940,sil,0.6953462823725982,0.66,0.28741029833195836
1816,f,0.10583149779735683,0.10999999999999943,0.03582372745007694
28823,i,0.07349616625611491,0.06000000000000005,0.04555463034704565
49253,a,0.0790451343065397,0.06999999999999984,0.043480673333033036
31661,l,0.06854868765989704,0.06000000000000005,0.04039952874485497
58759,o,0.06963188617913851,0.06000000000000005,0.0377521391659819
28258,v,0.061881944935947335,0.05999999999999983,0.029830197589702987
6799,é,0.11833504927195175,0.10000000000000009,0.067488242353559
7037,č,0.11964615603240018,0.11999999999999988,0.03378921135673044
44472,t,0.07692435689872279,0.06999999999999984,0.036890673388651526
61933,e,0.0693546251594465,0.06000000000000005,0.04479641303959079
22112,r,0.06135944283646889,0.05999999999999983,0.02640064720365881
16416,c,0.09092044346978558,0.08999999999999986,0.04491083332015714
20627,j,0.07200077568235806,0.06000000000000005,0.03923971301747446
32647,s,0.10889270070756885,0.10999999999999988,0.03792472030111179
23521,u,0.08324943667361082,0.06999999999999984,0.05323557880485707
12744,b,0.07104048964218455,0.06999999999999984,0.02801163766332384
26106,k,0.07995250134068797,0.07000000000000028,0.03289740679983649
45111,n,0.06796812307419475,0.06000000000000005,0.03150076298031692
13944,y,0.08145582329317269,0.06000000000000005,0.05957745094543099
27679,d,0.06517757144405506,0.06000000000000005,0.027296440072043942
34020,sp,0.5923065843621399,0.5800000000000001,0.4283603709006876
24015,,0.02065455423693527,0.020000000000000462,0.001672200847286805
15863,h,0.06690915967975794,0.06000000000000005,0.037334734149598744
5390,ý,0.09544897959183674,0.08000000000000007,0.05567141785620496
23491,p,0.06903792941977778,0.06000000000000005,0.02427095183224358
14148,z,0.0917225049476958,0.08999999999999986,0.03626673183355451
27744,m,0.08610185986159168,0.07999999999999985,0.044922605873385875
17130,á,0.13339229422066548,0.1200000000000001,0.05979170586349233
2976,ů,0.10665994623655914,0.08000000000000007,0.07395008820977612
7689,ž,0.09163090128755365,0.08999999999999986,0.039170333930117505
21707,í,0.09871516100796977,0.08000000000000007,0.06252737580413112
13879,ě,0.08487354996757691,0.07000000000000006,0.04847672654792056
7964,ř,0.08404696132596685,0.08000000000000007,0.02978886534936541
7827,š,0.11930624760444614,0.11000000000000032,0.047392913758256376
157,w,0.05006369426751591,0.040000000000000036,0.02390258401633852
480,ť,0.09554166666666666,0.08000000000000007,0.052066847390851524
690,ú,0.1453478260869565,0.14000000000000012,0.05051282692227687
390,ň,0.09584615384615383,0.08999999999999986,0.04603985924232671
1298,g,0.06865947611710324,0.06999999999999984,0.027539962397346747
540,ď,0.10438888888888886,0.08999999999999997,0.06721026064376234
343,x,0.14650145772594753,0.14,0.051075938127468405
131,ó,0.14839694656488545,0.1299999999999999,0.0893813922084417
9,spn,0.12888888888888905,0.14999999999999947,0.10104393372790801
5,q,0.07800000000000007,0.08000000000000007,0.02785677655436823
1,ü,0.3400000000000001,0.3400000000000001,0.0
1,–,0.029999999999999805,0.029999999999999805,0.0
1,è,0.02999999999999936,0.02999999999999936,0.0
