repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
5904,sil,0.5293089430894309,0.5,0.3709155112398061
5581,spn,2.5254721376097473,2.54,1.5216111639045198
5989,sp,1.3554666889297045,0.8500000000000001,1.3314595657229669
6126,,0.020204048318641865,0.020000000000000018,0.00246175246609513
108,し,0.5853703703703702,0.575,0.39690101836773395
80,く,0.524875,0.45999999999999996,0.39083562321646165
123,ち,0.7977235772357723,0.66,0.5892282578514187
60,れ,0.4058333333333333,0.37,0.3348098548264207
239,い,0.5093305439330543,0.44999999999999996,0.4365253297851748
44,さ,0.37522727272727285,0.42500000000000004,0.2433711030538607
37,ん,0.44756756756756755,0.32999999999999996,0.37346735741727877
82,に,0.47780487804878047,0.34499999999999986,0.4802312054707732
38,ろ,0.6673684210526316,0.665,0.3471969273642713
2,後,0.16499999999999995,0.16499999999999995,0.02500000000000005
3,者,0.21000000000000005,0.2100000000000004,0.008164965809277176
49,の,0.17795918367346936,0.1499999999999999,0.1180103695173408
3,代,0.1300000000000001,0.17000000000000004,0.07118052168020862
8,表,0.2349999999999999,0.1549999999999998,0.18110770276274818
17,が,0.16058823529411756,0.16999999999999993,0.10275445250036863
9,ウ,0.2144444444444444,0.22999999999999998,0.11334422605605858
11,ェ,0.14909090909090908,0.16999999999999993,0.08522212105642157
15,ッ,0.1493333333333333,0.17999999999999972,0.10452857132010471
5,ジ,0.3560000000000001,0.3600000000000003,0.24113066996962457
10,ド,0.15999999999999998,0.18499999999999994,0.09208691546577068
12,ャ,0.21833333333333338,0.19,0.09172725270544672
20,ス,0.12700000000000006,0.1250000000000001,0.07537240874484501
5,パ,0.242,0.20999999999999996,0.18755265927200257
118,ー,0.15720338983050844,0.1299999999999999,0.1353519304378583
11,ア,0.1536363636363636,0.1499999999999999,0.08456011603078904
30,で,0.17066666666666666,0.1200000000000001,0.15433585311117945
17,あ,0.10235294117647079,0.040000000000000036,0.11491835525146714
50,る,0.1255999999999999,0.09499999999999997,0.10875955130470161
45,え,0.5226666666666666,0.3799999999999999,0.5514119250715486
42,ご,0.6928571428571428,0.625,0.3811966478784165
2,大,0.08000000000000013,0.08000000000000013,0.05000000000000021
2,当,0.63,0.63,0.59
6,り,0.2233333333333332,0.21500000000000008,0.04027681991198193
1,終,0.17999999999999994,0.17999999999999994,0.0
1,了,0.18000000000000016,0.18000000000000016,0.0
117,は,0.23350427350427358,0.25,0.1277906691035863
10,グ,0.18699999999999997,0.11499999999999982,0.15040279252726665
9,ラ,0.2122222222222222,0.14000000000000012,0.22419127635807273
13,デ,0.1776923076923078,0.14000000000000057,0.13576868598713976
12,ィ,0.2058333333333332,0.10499999999999998,0.28508648785159146
6,エ,0.1316666666666666,0.12499999999999978,0.06767980168082319
10,タ,0.29700000000000015,0.2100000000000002,0.1836872341780995
10,チ,0.2000000000000001,0.18500000000000005,0.1252198067399882
49,ン,0.12938775510204087,0.13,0.07527929393239836
1,突,0.13999999999999968,0.13999999999999968,0.0
10,入,0.14600000000000005,0.17499999999999982,0.09264987857520379
13,す,0.17076923076923065,0.14999999999999947,0.10454748928019714
14,レ,0.20071428571428562,0.21999999999999997,0.09938843607024805
14,ミ,0.16571428571428573,0.17000000000000026,0.1062150302596634
20,シ,0.13650000000000007,0.08999999999999986,0.11402960141998218
7,ピ,0.27571428571428575,0.21000000000000008,0.20900151351858973
