repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
2834,,0.4967480592801694,0.4489999999999994,0.35694159873820164
2105,<unk>,0.23853206650831352,0.1100000000000001,0.29906232247594844
4,ଶବ୍ଦ,0.4300000000000001,0.39,0.08124038404635969
1,ପ୍ରବଳ,0.5000000000000002,0.5000000000000002,0.0
8,ଖୁବ,0.36624999999999996,0.32999999999999985,0.13009011299864418
1,ଦୀର୍ଘନିଶ୍ୱାସ,0.8700000000000001,0.8700000000000001,0.0
53,ମ,0.14867924528301887,0.13999999999999996,0.08000088999148951
1,ଦୁଇଥର,0.39999999999999947,0.39999999999999947,0.0
1,ଅସ୍ପଷ୍ଟ,0.5200000000000005,0.5200000000000005,0.0
30,ଆଉ,0.227,0.19999999999999996,0.10555093557141035
1,ଡିସ୍ମିସ,0.5099999999999999,0.5099999999999999,0.0
2,ହେବାର,0.42499999999999993,0.42499999999999993,0.08499999999999985
3,ଦୂର,0.3066666666666668,0.31000000000000005,0.053124591501697384
2,ନୂଆ,0.27999999999999997,0.27999999999999997,0.03999999999999998
1,ବାହେଲ,0.47,0.47,0.0
17,ହେବ,0.29294117647058826,0.27000000000000046,0.0704410229643421
3,କେବଳ,0.31666666666666665,0.29000000000000004,0.06798692684790375
2,କନେଷ୍ଟବଳ,0.6699999999999999,0.6699999999999999,0.10000000000000009
1,ମେନେଜର,0.61,0.61,0.0
1,ହଜୁରଙ୍କ,0.6200000000000001,0.6200000000000001,0.0
1,ଜାହେର,0.43999999999999995,0.43999999999999995,0.0
8,ଆସ,0.26125,0.2450000000000001,0.056665134783215686
3,ଲୋକଙ୍କ,0.45999999999999996,0.45999999999999996,0.0
3,ତାଙ୍କ,0.2666666666666669,0.25,0.04642796092394688
2,ଘରର,0.41999999999999993,0.41999999999999993,0.0
1,ମୂଲ୍ୟ,0.5999999999999996,0.5999999999999996,0.0
1,ଜିନିଶ,0.38000000000000034,0.38000000000000034,0.0
7,ବାହାର,0.35285714285714287,0.3600000000000003,0.0901925378152263
24,କର,0.2020833333333333,0.19499999999999984,0.0670807452916922
14,ଭାର,0.2392857142857143,0.23999999999999988,0.04078940438648355
11,ଗୋଟାଏ,0.39454545454545453,0.3999999999999999,0.09296760299486895
1,ପାର୍ବତୀକ୍ଷେତ୍ର,1.24,1.24,0.0
5,ମାତ୍ର,0.434,0.4399999999999997,0.08039900496896717
1,ସଂସାର,0.7599999999999998,0.7599999999999998,0.0
1,ରୂପ,0.43999999999999995,0.43999999999999995,0.0
2,ଅମୃତ,0.5999999999999996,0.5999999999999996,0.0
1,ଫଳ,0.10000000000000053,0.10000000000000053,0.0
4,ଠିକ,0.27249999999999996,0.2800000000000001,0.07327175444876417
2,ସତ୍ୟ,0.49999999999999967,0.49999999999999967,0.010000000000000342
4,ମନ,0.28,0.27,0.03741657386773948
17,କଲ,0.2341176470588236,0.22000000000000064,0.04678597370623092
4,ସତ,0.33750000000000013,0.33999999999999986,0.022776083947860674
1,ହୋଇଯାଅ,0.48,0.48,0.0
11,କିଏ,0.35,0.3200000000000003,0.14219065306194284
18,ଦିନ,0.3222222222222222,0.30000000000000004,0.12126901021904223
1,ସଞ୍ଜ,0.52,0.52,0.0
3,ସକାଳ,0.5866666666666666,0.5800000000000001,0.1144066820115365
1,କରୁଥିବାର,0.6000000000000005,0.6000000000000005,0.0
16,ଦେଖ,0.2675,0.2600000000000001,0.044651427748729385
2,ଭଲଲୋକ,0.595,0.595,0.09499999999999997
1,ବରଙ୍କ,0.41000000000000014,0.41000000000000014,0.0
12,ନାମ,0.33416666666666667,0.33499999999999996,0.041323587560724746
1,ଗନ୍ତାଘରରାୟ,1.1500000000000004,1.1500000000000004,0.0
6,ଆପଣ,0.40333333333333315,0.44999999999999973,0.11279282877125743
4,ଆମ୍ଭମାନଙ୍କ,0.6775000000000001,0.6650000000000003,0.08073877630977566
2,କଥାର,0.44999999999999996,0.44999999999999996,0.04000000000000026
1,ମିଛ,0.1900000000000004,0.1900000000000004,0.0
1,ନିର୍ମଳ,0.5300000000000002,0.5300000000000002,0.0
3,ମହାଜନ,0.5866666666666669,0.5800000000000001,0.024944382578492755
1,ଆୟୋଜନ,0.4500000000000002,0.4500000000000002,0.0
1,ମଳତୀର,0.6399999999999999,0.6399999999999999,0.0
2,ଆଦର,0.395,0.395,0.02499999999999991
27,କଣ,0.2807407407407407,0.27,0.06705033631124688
1,ସହିଲ,0.3500000000000001,0.3500000000000001,0.0
2,ପୁରୋହିତ,0.4650000000000001,0.4650000000000001,0.07499999999999996
20,ଘର,0.28900000000000003,0.29000000000000004,0.08508231308562315
6,ମଧ୍ୟ,0.5049999999999999,0.3699999999999999,0.2983705749567139
7,ଗ୍ରାମର,0.41857142857142865,0.4099999999999999,0.06727949622466639
3,ଚାଷ,0.37000000000000005,0.3700000000000001,0.05715476066494078
2,ସଜ,0.385,0.385,0.02499999999999991
1,ଜମିଗୁଡାକ,0.9900000000000002,0.9900000000000002,0.0
1,ଲଗାଇ,0.4600000000000004,0.4600000000000004,0.0
1,ବୋଧ,0.3899999999999999,0.3899999999999999,0.0
3,ସେମାନଙ୍କ,0.5533333333333335,0.51,0.07586537784494028
26,ହୋଇ,0.27730769230769237,0.2549999999999999,0.09192629540551632
17,ନ,0.1423529411764706,0.1299999999999999,0.10125851666517656
9,ହ,0.19111111111111112,0.16000000000000014,0.12853399415843642
2,ଅବଶ୍ୟ,0.5049999999999999,0.5049999999999999,0.03500000000000014
8,ଯିବ,0.2999999999999999,0.2250000000000001,0.2345207879911717
15,ଏ,0.18666666666666662,0.14,0.13636552187248632
1,ଖାଉ,0.2300000000000002,0.2300000000000002,0.0
1,ପୁନେଇ,0.55,0.55,0.0
4,ଯାଇ,0.2375000000000001,0.2300000000000001,0.07495832175282442
14,କହ,0.19642857142857145,0.17000000000000015,0.07797500907865507
4,ବାପ,0.9600000000000001,0.3550000000000001,1.109797278785635
1,ଆସାମୀମାନଙ୍କ,1.0000000000000002,1.0000000000000002,0.0
2,ମାମଲାର,0.5350000000000003,0.5350000000000003,0.09500000000000008
1,କଥାଗୁଡ଼ାକ,0.6000000000000001,0.6000000000000001,0.0
1,ସ୍ଥିର,0.51,0.51,0.0
1,ଧାଇଁବ,0.14999999999999947,0.14999999999999947,0.0
3,ଚମ୍ପାର,0.41999999999999993,0.4099999999999997,0.029439202887759464
11,ଗୋଟିଏ,0.4027272727272727,0.41000000000000014,0.04769046199492361
9,ସମସ୍ତ,0.49666666666666665,0.5099999999999998,0.022110831935702572
6,ଖଣ୍ଡ,0.29,0.25,0.0802080627701064
