repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
43341,,0.6650478816824715,0.58,0.4920486687608889
39364,<unk>,0.4684808454425363,0.3999999999999999,0.34322212420824255
3,இப்பெரிய,0.6133333333333334,0.5999999999999999,0.04988876515698595
9,நிறைந்த,0.6499999999999999,0.6200000000000001,0.19043809142780932
4,டென்க,0.5524999999999998,0.5849999999999997,0.07154544010627097
5,உண்மையான,0.684,0.6700000000000002,0.16584329953302296
4,அச்சடித்த,0.8524999999999998,0.9649999999999999,0.24138920854089588
88,இந்த,0.42715909090909093,0.4050000000000001,0.1446465037728842
3,சன்னத்த,0.82,0.8099999999999999,0.04546060565661965
2,முகமல,0.5850000000000001,0.5850000000000001,0.11500000000000002
3,எனக்கேட்ட,0.6866666666666666,0.69,0.09392668535736895
2,புருஷர்சக,0.955,0.955,0.05500000000000005
2,புதுப்பருவ,0.6449999999999999,0.6449999999999999,0.05499999999999983
9,சாப்பிட,0.5233333333333333,0.52,0.10728984626287377
275,என்ற,0.49203636363636366,0.43000000000000016,0.27654004895798723
91,நல்ல,0.5095604395604395,0.4700000000000001,0.3549056896484779
14,போன்ற,0.5321428571428571,0.5050000000000001,0.27882863583797374
2,மெத்த,0.52,0.52,0.02999999999999997
3,சூழ்ந்திட்ட,0.8333333333333334,0.8300000000000001,0.09392668535736923
5,இழந்த,0.5660000000000001,0.56,0.10707007051459336
24,கூற,0.3125,0.3,0.07811583279549243
7,இயலாத,0.6757142857142858,0.69,0.08845614617378694
2,ஊரிலுள்ள,0.725,0.725,0.14500000000000013
2,முன்னின்ற,0.6849999999999999,0.6849999999999999,0.025000000000000022
46,நின்ற,0.587391304347826,0.55,0.3489514403903107
36,இருக்க,0.55,0.43500000000000005,0.38281123866005345
80,அந்த,0.476375,0.45499999999999974,0.2681382281119199
17,வான,0.32941176470588235,0.3599999999999999,0.07937035957609587
9,விஜய,0.6077777777777778,0.54,0.17446921267902685
3,வெப்ப,0.42666666666666675,0.4600000000000001,0.09285592184789412
8,சிறந்த,0.56875,0.5350000000000001,0.1156976123349137
2,இறவாத,0.7799999999999999,0.7799999999999999,0.0
2,புகழுடைய,0.7800000000000001,0.7800000000000001,0.05999999999999994
4,அயலவ,0.5525,0.545,0.029474565306378958
2,அடைத,0.25,0.25,0.1299999999999999
3,தட்டிய,0.7733333333333334,0.45,0.4714752261666449
4,அடைகின்ற,0.7525000000000001,0.77,0.05760859310901457
2,அங்குள,0.6050000000000001,0.6050000000000001,0.07500000000000007
65,கண்ட,0.43846153846153846,0.3500000000000001,0.2739805201903723
3,வாழ்க,0.5433333333333333,0.5,0.10656244908763854
3,மேற்காக,0.7000000000000001,0.71,0.029439202887759416
19,வெள்ள,0.42315789473684223,0.3600000000000003,0.1845350524847999
8,போற்ற,0.46,0.46499999999999997,0.04000000000000007
43,இங்க,0.5206976744186047,0.3900000000000001,0.4070849025714027
169,என்ன,0.46532544378698226,0.4099999999999997,0.27788941545592594
2,கேட்டுட்டீங்க,1.14,1.14,0.19000000000000017
2,செய்துதந்த,1.0050000000000001,1.0050000000000001,0.11499999999999999
3,'சிலம்பு',0.6466666666666666,0.6699999999999999,0.12762793146051096
5,இயம்ப,0.3960000000000001,0.3700000000000001,0.07445804187594512
3,இலையிந்த,0.7100000000000001,0.7100000000000001,0.008164965809277223
6,காட்டவந்த,0.93,0.9549999999999998,0.12110601416389961
4,தீராத,0.7500000000000001,0.75,0.04743416490252568
5,காலையில,0.616,0.62,0.04029888335921981
6,பல்குக,0.6099999999999999,0.5649999999999997,0.10923979738782624
2,யெடுத்துவர,0.8300000000000001,0.8300000000000001,0.040000000000000036
12,சொந்த,0.5750000000000001,0.5699999999999998,0.06664583007710735
7,விடிய,0.4657142857142857,0.4700000000000001,0.0570356136505061
112,வேண்டும,0.5572321428571428,0.54,0.24169863844047526
3,அறிவுடைய,0.5966666666666667,0.6199999999999999,0.07930251502246884
81,என,0.262962962962963,0.26,0.08353966226570325
3,வலிக்கின்றன,0.9900000000000001,0.99,0.04082482904638634
16,வாழ,0.36750000000000005,0.375,0.100093706095838
5,உழைத்த,0.612,0.55,0.1153082824431966
5,வேண்டாத,0.608,0.5899999999999999,0.08885943956609224
25,அமுத,0.42040000000000005,0.44000000000000017,0.1091596995232215
2,அன்றந்த,0.655,0.655,0.11499999999999999
3,'ஆழி',0.7400000000000001,0.6699999999999999,0.24589970855343998
3,தூக்காத,0.6533333333333332,0.5599999999999999,0.16858891488535724
19,வர,0.2131578947368421,0.20000000000000018,0.06905776617623878
2,கிட்டரிய,0.695,0.695,0.07500000000000007
3,பத்தொன்ப,0.6133333333333333,0.6,0.07408703590297622
20,வைத்த,0.5145,0.49500000000000005,0.17106943034920064
27,நோக்க,0.3922222222222222,0.3700000000000001,0.08139220698583306
16,கெட்ட,0.5706249999999999,0.5999999999999999,0.15080901622582124
7,சித்தரித்த,0.7985714285714286,0.73,0.13303367687797513
3,நாகாக்க,1.4033333333333333,1.4599999999999997,0.6014611837480087
9,பட்ட,0.3688888888888888,0.39999999999999947,0.0740036702459853
20,உதவ,0.274,0.30499999999999977,0.12158947322856528
3,பண்ணுங்க,1.0966666666666667,1.3599999999999999,0.4010264607506868
3,சிவந்த,0.6433333333333332,0.62,0.06342099196813478
5,அடுத்த,0.506,0.51,0.08260750571225352
3,இதுவல்ல,0.68,0.7400000000000002,0.09201449161228176
25,எண்ண,0.4171999999999999,0.33999999999999986,0.2043432406516056
3,செத்துவிட்ட,0.7666666666666666,0.74,0.12391753530294067
5,தொழிலாள,0.7220000000000001,0.6500000000000001,0.2953235513805156
2,கண்டறிய,0.6849999999999999,0.6849999999999999,0.03499999999999992
2,சாவதென்ற,1.0150000000000001,1.0150000000000001,0.08500000000000008
10,சாவ,0.4450000000000001,0.45999999999999996,0.08857200460642178
135,வந்த,0.4236296296296297,0.4099999999999999,0.17564107933998432
24,ஆங்க,0.5579166666666667,0.5699999999999998,0.1398504906041527
14,ஏற்ற,0.602857142857143,0.4949999999999999,0.4952694587138338
3,மன்னன்மக,0.8799999999999999,0.9199999999999999,0.07874007874011807
33,செய்த,0.5081818181818182,0.48,0.1287811049912013
2,துயருற,0.6549999999999997,0.6549999999999997,0.09500000000000008
3,தெரிந்துகொள்ள,0.8233333333333333,0.77,0.1359738536958076
3,விடுக்க,0.5900000000000003,0.6100000000000003,0.028284271247461926
2,எமனாக,0.6,0.6,0.12
2,மற்றைய,0.6000000000000005,0.6000000000000005,0.07000000000000028
8,பிற,0.4149999999999999,0.47999999999999976,0.19742087022399638
19,செய,0.3521052631578948,0.33999999999999986,0.08513635795583094
2,பிணிபோல,0.8200000000000001,0.8200000000000001,0.08000000000000002
4,தீய,0.4075000000000001,0.40000000000000013,0.05760859310901439
2,அவர்க்கென்ன,0.8700000000000001,0.8700000000000001,0.1100000000000001
34,அட,0.2770588235294117,0.23999999999999988,0.11309884827428111
11,தன,0.23727272727272739,0.2200000000000002,0.08613846243545216
8,விட,0.21375000000000002,0.21499999999999997,0.062236946422523004
3,பெற்றுணர்ந்த,0.9833333333333333,0.96,0.17632041540584262
4,ஆச்சரிய,0.6525000000000001,0.6250000000000001,0.08613216588476107
3,செயப்போவ,0.7533333333333333,0.7599999999999998,0.01699673171197586
12,தென்ன,0.5549999999999999,0.4600000000000001,0.2944910864525445
3,ஓம்புக,0.6499999999999999,0.6000000000000001,0.1235583532856709
5,நிறுத்த,0.9179999999999999,0.6400000000000001,0.6957988214994332
6,தீர்ந்த,0.48,0.47,0.12315302134607448
26,வாங்க,0.5126923076923077,0.4700000000000001,0.18860943961016155
3,சாரற்ற,0.7333333333333333,0.78,0.08055363982396382
5,கேட்க,0.6059999999999999,0.6599999999999999,0.12419339757008015
3,ஆன்ற,0.4466666666666663,0.4499999999999993,0.020548046676563153
3,சூரிய,0.5166666666666667,0.5300000000000002,0.026246692913372765
3,நான்பெற்ற,0.7399999999999999,0.6999999999999997,0.094162979278837
2,கூவின,0.48,0.48,0.010000000000000009
53,காதல,0.4771698113207547,0.44999999999999973,0.1354709097575211
5,சுரக்கின்ற,0.8400000000000001,0.84,0.08740709353364859
44,தந்த,0.47750000000000004,0.3999999999999999,0.2950048150608578
14,தங்க,0.43642857142857133,0.3749999999999999,0.1818007992618429
9,கருத,0.3177777777777779,0.33000000000000007,0.07284348179148338
2,உருப்பட,0.34499999999999986,0.34499999999999986,0.025000000000000022
3,என்பெருமைக்குற்ற,1.13,1.08,0.0927361849549569
4,போகாத,0.61,0.6299999999999999,0.07000000000000012
12,என்ப,0.6291666666666668,0.41,0.6962214486465895
30,போக,0.35766666666666674,0.3700000000000001,0.11752115648776702
2,ரத்த,0.6050000000000002,0.6050000000000002,0.09499999999999997
3,இனியன,0.5266666666666667,0.49,0.05185449728701353
3,பிழைப்ப,0.4066666666666667,0.3999999999999999,0.016996731711976066
3,கெஞ்ச,0.38000000000000006,0.3700000000000001,0.04546060565661946
5,அறிய,0.348,0.33999999999999986,0.060464865831323884
2,கற்பனையென,0.8999999999999999,0.8999999999999999,0.08999999999999986
3,பொருளற்ற,0.7133333333333334,0.73,0.07845734863959873
10,செய்ய,0.558,0.5200000000000001,0.1576578574001308
21,திறந்த,0.586190476190476,0.44999999999999996,0.521211740087016
8,சுட்ட,0.3875,0.39500000000000013,0.062399919871743384
8,வட,0.30125,0.26000000000000023,0.16788668053183972
2,நூறாக,0.6499999999999999,0.6499999999999999,0.029999999999999805
9,எண்ணிய,0.6233333333333333,0.52,0.2668749186833079
3,யந்திர,0.55,0.55,0.0
37,தலைவ,0.4083783783783784,0.41999999999999993,0.12853674442602245
49,போல,0.38816326530612244,0.3599999999999999,0.152471790223069
3,லேயுள்ள,0.82,0.8400000000000003,0.04320493798938574
3,எனக்கிருப்ப,0.71,0.6799999999999999,0.042426406871192784
3,அறனல்ல,0.5233333333333334,0.5200000000000005,0.012472191289246521
2,நல்லொழுக்க,0.765,0.765,0.004999999999999893
3,குருட,0.26333333333333325,0.26,0.03681787005729081
45,சொல்ல,0.4228888888888889,0.3999999999999999,0.12919618539642588
6,வைக்க,0.425,0.41999999999999993,0.15819292019556375
12,காண,0.39250000000000007,0.425,0.10409330750181144
2,கற்புடைய,0.7250000000000001,0.7250000000000001,0.09500000000000003
8,அழுத,0.4475,0.41999999999999993,0.0621992765231237
107,இல்ல,0.49841121495327106,0.4500000000000002,0.2290294415743742
19,கொல்ல,0.6778947368421052,0.5300000000000002,0.6193594224542205
3,இருப்பதாக,0.86,0.79,0.1283225103661344
18,தேட,0.32944444444444443,0.32999999999999974,0.06979909440850156
7,பாரத,0.5671428571428573,0.5199999999999999,0.1377071723118388
33,பெரிய,0.4084848484848485,0.41000000000000003,0.0638711397871082
3,ராஜராஜ,0.5933333333333332,0.5699999999999998,0.09533566430716718
2,எளிதுணர,0.8,0.8,0.039999999999999813
3,தின்ற,0.5700000000000002,0.6200000000000001,0.10033277962194939
2,மருவுகின்ற,0.6949999999999998,0.6949999999999998,0.08499999999999996
2,சிரித்தாக,0.6799999999999999,0.6799999999999999,0.09999999999999987
10,கொள்க,0.47999999999999987,0.4,0.22547727158186034
12,இருக்கீங்க,0.7583333333333334,0.72,0.12766057426716454
3,துகிலென,0.5533333333333332,0.54,0.03399346342395186
