character,frequencyTot,frequencyRet
e,21712,0.14189365817953678
a,18713,0.12229440058555968
n,11111,0.07261332148272076
o,11072,0.07235844617556333
r,10914,0.07132587441836148
t,9045,0.059111465467663514
i,6372,0.04164270403095101
h,6302,0.04118523553092487
u,6140,0.040126522716578655
l,5738,0.03749934647357139
d,5421,0.03542766769488158
z,4566,0.029840016730276572
m,4503,0.029428295080253044
s,4153,0.02714095258012234
k,3628,0.023709938829926284
g,3481,0.022749254979871385
v,3036,0.019841062372562345
p,3013,0.019690751293982327
',2841,0.01856668583677524
c,2766,0.01807654101531866
b,2722,0.0177889893867308
ñ,1900,0.012417002143566686
w,1159,0.007574371307575678
ù,689,0.004502797093114445
f,687,0.00448972656454227
j,513,0.0033525905787630053
ʼ,336,0.002195848800125477
y,224,0.0014638992000836513
’,104,0.0006796674857531238
ê,92,0.0006012443143200711
â,15,9.802896429131594e-05
é,10,6.535264286087729e-05
/,10,6.535264286087729e-05
à,6,3.9211585716526374e-05
x,5,3.2676321430438645e-05
q,4,2.6141057144350916e-05
û,4,2.6141057144350916e-05
ô,3,1.9605792858263187e-05
è,3,1.9605792858263187e-05
ü,2,1.3070528572175458e-05
½,1,6.535264286087729e-06
