character,frequencyTot,frequencyRet
a,13096,0.2231575359972736
n,6719,0.1144926301439891
h,6405,0.10914202947942404
i,5655,0.09636193235068587
k,3673,0.0625883956718071
u,3035,0.05171679304762716
l,2564,0.043690892050779584
m,2245,0.038255090738689615
t,2134,0.03636363636363636
g,1967,0.033517934736303996
c,1659,0.02826957484876885
e,1619,0.02758796966856948
r,1440,0.0245377864871773
w,1259,0.021453523046775155
o,1108,0.018880463491522535
p,1020,0.01738093209508392
s,1011,0.017227570929539065
d,598,0.010189997443980574
z,438,0.007463576723183096
b,299,0.005094998721990287
ṭ,256,0.004362273153275965
v,238,0.0040555508221862486
f,216,0.0036806679730765953
',11,0.00018744142455482662
j,11,0.00018744142455482662
y,7,0.00011928090653488966
q,1,1.7040129504984237e-05
/,1,1.7040129504984237e-05
