character,frequencyTot,frequencyRet
e,3880928,0.15995877018151639
n,2310683,0.09523856432258904
i,2030662,0.0836970426079377
r,1749507,0.07210878123581632
s,1625909,0.0670144883046166
t,1607104,0.0662394095932199
a,1451529,0.05982713251129789
h,1127428,0.046468781783173166
d,1125029,0.04636990308981285
l,908355,0.03743933118270458
u,880315,0.036283616900994194
c,737337,0.030390545696629453
g,684263,0.028203014320470503
m,641382,0.02643560404536269
o,617701,0.025459553050170693
b,481834,0.019859573295778938
f,413776,0.017054451948252357
w,392380,0.016172580950696173
k,371671,0.015319025777374477
z,283470,0.011683677868632052
p,236064,0.009729762346564915
v,209950,0.008653431292621085
ü,149531,0.006163163775265175
ä,129925,0.0053550705439094765
ö,67777,0.0027935394747319806
j,52535,0.00216531561304048
ß,41322,0.0017031535502438128
y,27811,0.001146275673632222
x,14048,0.0005790112064717362
q,6864,0.000282910942569903
',1388,5.720868127724728e-05
’,578,2.382321165579894e-05
é,340,1.4013653915175847e-05
–,306,1.2612288523658264e-05
á,286,1.1787955940412624e-05
í,283,1.1664306052925779e-05
ó,196,8.078459315807253e-06
ō,136,5.605461566070339e-06
ã,109,4.492612578688727e-06
š,96,3.956796399579063e-06
ú,60,2.472997749736914e-06
ș,58,2.3905644914123505e-06
č,56,2.3081312330877866e-06
ł,55,2.2669146039255046e-06
ş,51,2.102048087276377e-06
ř,49,2.019614828951813e-06
ă,44,1.8135316831404037e-06
ć,43,1.772315053978122e-06
â,40,1.6486651664912762e-06
ž,38,1.5662319081667124e-06
ø,37,1.5250152790044305e-06
à,36,1.4837986498421485e-06
ʻ,35,1.4425820206798667e-06
ý,35,1.4425820206798667e-06
ı,34,1.4013653915175847e-06
ñ,30,1.236498874868457e-06
ô,30,1.236498874868457e-06
ā,30,1.236498874868457e-06
ū,28,1.1540656165438933e-06
ë,26,1.0716323582193295e-06
@,22,9.067658415702018e-07
/,21,8.6554921240792e-07
ě,20,8.243325832456381e-07
ʿ,18,7.418993249210742e-07
´,17,7.006826957587924e-07
æ,15,6.182494374342285e-07
ś,15,6.182494374342285e-07
ī,15,6.182494374342285e-07
å,14,5.770328082719466e-07
đ,13,5.358161791096648e-07
ə,13,5.358161791096648e-07
ț,13,5.358161791096648e-07
ê,12,4.945995499473829e-07
ń,12,4.945995499473829e-07
ň,10,4.1216629162281905e-07
î,10,4.1216629162281905e-07
ð,10,4.1216629162281905e-07
œ,9,3.709496624605371e-07
ğ,9,3.709496624605371e-07
̇,8,3.2973303329825525e-07
ą,8,3.2973303329825525e-07
ò,7,2.885164041359733e-07
ç,7,2.885164041359733e-07
ė,7,2.885164041359733e-07
ę,7,2.885164041359733e-07
ï,5,2.0608314581140952e-07
ż,5,2.0608314581140952e-07
ź,5,2.0608314581140952e-07
ů,4,1.6486651664912762e-07
ő,4,1.6486651664912762e-07
=,4,1.6486651664912762e-07
ả,3,1.2364988748684572e-07
−,3,1.2364988748684572e-07
ġ,3,1.2364988748684572e-07
о,3,1.2364988748684572e-07
ḫ,3,1.2364988748684572e-07
а,3,1.2364988748684572e-07
и,3,1.2364988748684572e-07
ť,2,8.243325832456381e-08
õ,2,8.243325832456381e-08
ì,2,8.243325832456381e-08
‘,2,8.243325832456381e-08
ṣ,2,8.243325832456381e-08
ắ,2,8.243325832456381e-08
ế,2,8.243325832456381e-08
ď,2,8.243325832456381e-08
с,2,8.243325832456381e-08
е,2,8.243325832456381e-08
р,2,8.243325832456381e-08
ф,2,8.243325832456381e-08
м,2,8.243325832456381e-08
в,2,8.243325832456381e-08
ш,2,8.243325832456381e-08
辶,1,4.1216629162281906e-08
≡,1,4.1216629162281906e-08
孙,1,4.1216629162281906e-08
道,1,4.1216629162281906e-08
临,1,4.1216629162281906e-08
無,1,4.1216629162281906e-08
ồ,1,4.1216629162281906e-08
‑,1,4.1216629162281906e-08
ạ,1,4.1216629162281906e-08
ש,1,4.1216629162281906e-08
ב,1,4.1216629162281906e-08
א,1,4.1216629162281906e-08
נ,1,4.1216629162281906e-08
ע,1,4.1216629162281906e-08
カ,1,4.1216629162281906e-08
ṟ,1,4.1216629162281906e-08
ộ,1,4.1216629162281906e-08
支,1,4.1216629162281906e-08
ǔ,1,4.1216629162281906e-08
尣,1,4.1216629162281906e-08
幺,1,4.1216629162281906e-08
乡,1,4.1216629162281906e-08
þ,1,4.1216629162281906e-08
ч,1,4.1216629162281906e-08
к,1,4.1216629162281906e-08
ứ,1,4.1216629162281906e-08
ọ,1,4.1216629162281906e-08
û,1,4.1216629162281906e-08
ņ,1,4.1216629162281906e-08
ǐ,1,4.1216629162281906e-08
ṭ,1,4.1216629162281906e-08
µ,1,4.1216629162281906e-08
ħ,1,4.1216629162281906e-08
ŏ,1,4.1216629162281906e-08
ù,1,4.1216629162281906e-08
臣,1,4.1216629162281906e-08
„,1,4.1216629162281906e-08
ễ,1,4.1216629162281906e-08
ē,1,4.1216629162281906e-08
