character,frequencyTot,frequencyRet
ا,834942,0.13185056676784335
ی,668766,0.1056087442421911
م,503224,0.07946704035870898
ن,467795,0.07387224008513558
ر,467636,0.07384713146667336
د,435427,0.06876082019591986
ه,394184,0.06224789723216171
و,384882,0.06077896409420185
ت,306665,0.04842726088502037
ب,296591,0.046836416719055245
ک,207604,0.03278395991969664
س,187889,0.02967064914622012
ش,173217,0.027353707950762474
ل,132037,0.020850733684885575
ز,112885,0.017826329528982846
خ,102000,0.016107415617276435
ف,81986,0.012946888007823782
گ,80597,0.01272754290691793
ق,67506,0.010660266653528068
ج,61178,0.00966097522189939
چ,58499,0.009237918688186806
ع,54502,0.008606729078164708
پ,45747,0.007224175904348481
ح,43545,0.006876445226022572
آ,39300,0.00620609248783298
ط,31558,0.0049835080593138206
ص,24878,0.003928630252221599
غ,11154,0.0017613932725009938
ذ,10047,0.0015865804383017289
ض,9049,0.0014289804305954359
ظ,7374,0.0011644713996254552
ث,5551,0.0008765908244264852
،,4457,0.0007038308961392262
ئ,3502,0.000553021269526491
ژ,3346,0.0005283863985824211
ك,3309,0.0005225435125251738
ي,3166,0.0004999615474931097
ى,2010,0.0003174108371639768
أ,548,8.653787998301457e-05
ـ,388,6.127134568140448e-05
ء,258,4.074228656134628e-05
ِ,212,3.3478157949633374e-05
؟,191,3.016192532254705e-05
َ,148,2.337154422898934e-05
ُ,131,2.0686974959443265e-05
٬,122,1.9265732404977696e-05
ﺮ,120,1.894990072620757e-05
b,112,1.7686574011127065e-05
ﺑ,110,1.737074233235694e-05
ّ,109,1.7212826492971878e-05
ﺎ,103,1.62653314566615e-05
ﻢ,79,1.2475351311419984e-05
c,77,1.2159519632649858e-05
e,75,1.1843687953879732e-05
a,72,1.1369940435724543e-05
ﯾ,72,1.1369940435724543e-05
ﻥ,72,1.1369940435724543e-05
ﮔ,72,1.1369940435724543e-05
ﯿ,72,1.1369940435724543e-05
g,70,1.1054108756954417e-05
m,59,9.317034523718722e-06
s,57,9.001202844948596e-06
ﺍ,55,8.68537116617847e-06
ﺸ,48,7.579960290483028e-06
ﻭ,48,7.579960290483028e-06
h,42,6.63246525417265e-06
f,41,6.474549414787587e-06
i,41,6.474549414787587e-06
y,40,6.316633575402524e-06
t,39,6.158717736017461e-06
ؤ,38,6.000801896632398e-06
ﻮ,38,6.000801896632398e-06
ﺩ,38,6.000801896632398e-06
d,37,5.842886057247335e-06
n,36,5.6849702178622715e-06
u,36,5.6849702178622715e-06
k,34,5.369138539092145e-06
ﺘ,31,4.8953910209369554e-06
ﺧ,31,4.8953910209369554e-06
ﻌ,31,4.8953910209369554e-06
ﮐ,31,4.8953910209369554e-06
ٌ,30,4.737475181551892e-06
؛,25,3.947895984626577e-06
ﻋ,24,3.789980145241514e-06
ﻤ,24,3.789980145241514e-06
ﺴ,24,3.789980145241514e-06
ﺖ,24,3.789980145241514e-06
ﺒ,24,3.789980145241514e-06
ﺭ,24,3.789980145241514e-06
ﺷ,24,3.789980145241514e-06
ﻧ,24,3.789980145241514e-06
ﺪ,24,3.789980145241514e-06
p,20,3.158316787701262e-06
o,18,2.8424851089311358e-06
–,17,2.6845692695460723e-06
q,17,2.6845692695460723e-06
z,13,2.05290591200582e-06
ً,13,2.05290591200582e-06
ﻀ,7,1.1054108756954416e-06
ﯽ,7,1.1054108756954416e-06
ﻟ,7,1.1054108756954416e-06
ﻪ,7,1.1054108756954416e-06
ﭘ,7,1.1054108756954416e-06
ﺱ,7,1.1054108756954416e-06
ﻡ,7,1.1054108756954416e-06
