character,frequencyTot,frequencyRet
い,239,0.09164110429447853
ち,123,0.04716257668711656
ー,118,0.04524539877300614
は,117,0.04486196319018405
し,108,0.04141104294478527
に,82,0.03144171779141104
く,80,0.03067484662576687
れ,60,0.023006134969325152
る,50,0.019171779141104295
ン,49,0.018788343558282208
の,49,0.018788343558282208
え,45,0.017254601226993866
さ,44,0.01687116564417178
ご,42,0.016104294478527608
ろ,38,0.014570552147239263
ん,37,0.014187116564417178
と,31,0.011886503067484663
て,31,0.011886503067484663
で,30,0.011503067484662576
た,28,0.010736196319018405
ル,26,0.009969325153374233
を,22,0.00843558282208589
ス,20,0.007668711656441718
シ,20,0.007668711656441718
ュ,19,0.0072852760736196315
こ,19,0.0072852760736196315
が,17,0.00651840490797546
あ,17,0.00651840490797546
フ,16,0.006134969325153374
リ,15,0.005751533742331288
っ,15,0.005751533742331288
ッ,15,0.005751533742331288
レ,14,0.005368098159509203
イ,14,0.005368098159509203
な,14,0.005368098159509203
ミ,14,0.005368098159509203
す,13,0.004984662576687116
デ,13,0.004984662576687116
ク,12,0.004601226993865031
ィ,12,0.004601226993865031
ャ,12,0.004601226993865031
テ,11,0.004217791411042945
ェ,11,0.004217791411042945
ア,11,0.004217791411042945
ト,10,0.003834355828220859
入,10,0.003834355828220859
ド,10,0.003834355828220859
か,10,0.003834355828220859
ら,10,0.003834355828220859
グ,10,0.003834355828220859
タ,10,0.003834355828220859
チ,10,0.003834355828220859
ツ,9,0.003450920245398773
ラ,9,0.003450920245398773
ウ,9,0.003450920245398773
行,8,0.003067484662576687
表,8,0.003067484662576687
マ,8,0.003067484662576687
ズ,8,0.003067484662576687
病,8,0.003067484662576687
わ,7,0.0026840490797546013
プ,7,0.0026840490797546013
コ,7,0.0026840490797546013
カ,7,0.0026840490797546013
ピ,7,0.0026840490797546013
ム,7,0.0026840490797546013
も,7,0.0026840490797546013
院,7,0.0026840490797546013
領,6,0.0023006134969325155
へ,6,0.0023006134969325155
ォ,6,0.0023006134969325155
ま,6,0.0023006134969325155
エ,6,0.0023006134969325155
通,6,0.0023006134969325155
や,6,0.0023006134969325155
業,6,0.0023006134969325155
り,6,0.0023006134969325155
ギ,6,0.0023006134969325155
ニ,6,0.0023006134969325155
牛,6,0.0023006134969325155
乳,6,0.0023006134969325155
ベ,5,0.0019171779141104294
脈,5,0.0019171779141104294
ワ,5,0.0019171779141104294
合,5,0.0019171779141104294
ヌ,5,0.0019171779141104294
人,5,0.0019171779141104294
メ,5,0.0019171779141104294
ョ,5,0.0019171779141104294
よ,5,0.0019171779141104294
そ,5,0.0019171779141104294
ジ,5,0.0019171779141104294
パ,5,0.0019171779141104294
キ,5,0.0019171779141104294
ヴ,4,0.0015337423312883436
肝,4,0.0015337423312883436
給,4,0.0015337423312883436
力,4,0.0015337423312883436
神,4,0.0015337423312883436
ナ,4,0.0015337423312883436
オ,4,0.0015337423312883436
団,4,0.0015337423312883436
ど,4,0.0015337423312883436
ゴ,4,0.0015337423312883436
時,4,0.0015337423312883436
新,4,0.0015337423312883436
き,4,0.0015337423312883436
サ,4,0.0015337423312883436
投,4,0.0015337423312883436
ァ,4,0.0015337423312883436
馬,4,0.0015337423312883436
ビ,4,0.0015337423312883436
色,4,0.0015337423312883436
ペ,4,0.0015337423312883436
ネ,4,0.0015337423312883436
選,4,0.0015337423312883436
ハ,3,0.0011503067484662577
素,3,0.0011503067484662577
モ,3,0.0011503067484662577
ヤ,3,0.0011503067484662577
点,3,0.0011503067484662577
ゲ,3,0.0011503067484662577
域,3,0.0011503067484662577
ば,3,0.0011503067484662577
中,3,0.0011503067484662577
多,3,0.0011503067484662577
ケ,3,0.0011503067484662577
ブ,3,0.0011503067484662577
痛,3,0.0011503067484662577
バ,3,0.0011503067484662577
ず,3,0.0011503067484662577
発,3,0.0011503067484662577
名,3,0.0011503067484662577
代,3,0.0011503067484662577
者,3,0.0011503067484662577
気,3,0.0011503067484662577
け,3,0.0011503067484662577
ザ,3,0.0011503067484662577
お,3,0.0011503067484662577
票,3,0.0011503067484662577
編,2,0.0007668711656441718
臓,2,0.0007668711656441718
酸,2,0.0007668711656441718
供,2,0.0007668711656441718
動,2,0.0007668711656441718
低,2,0.0007668711656441718
圧,2,0.0007668711656441718
系,2,0.0007668711656441718
門,2,0.0007668711656441718
介,2,0.0007668711656441718
ポ,2,0.0007668711656441718
ガ,2,0.0007668711656441718
せ,2,0.0007668711656441718
総,2,0.0007668711656441718
高,2,0.0007668711656441718
ユ,2,0.0007668711656441718
セ,2,0.0007668711656441718
川,2,0.0007668711656441718
地,2,0.0007668711656441718
常,2,0.0007668711656441718
界,2,0.0007668711656441718
体,2,0.0007668711656441718
関,2,0.0007668711656441718
連,2,0.0007668711656441718
物,2,0.0007668711656441718
現,2,0.0007668711656441718
つ,2,0.0007668711656441718
間,2,0.0007668711656441718
空,2,0.0007668711656441718
共,2,0.0007668711656441718
化,2,0.0007668711656441718
東,2,0.0007668711656441718
う,2,0.0007668711656441718
大,2,0.0007668711656441718
明,2,0.0007668711656441718
王,2,0.0007668711656441718
主,2,0.0007668711656441718
要,2,0.0007668711656441718
腕,2,0.0007668711656441718
利,2,0.0007668711656441718
ヒ,2,0.0007668711656441718
招,2,0.0007668711656441718
州,2,0.0007668711656441718
当,2,0.0007668711656441718
後,2,0.0007668711656441718
鎮,2,0.0007668711656441718
ロ,2,0.0007668711656441718
だ,2,0.0007668711656441718
依,2,0.0007668711656441718
存,2,0.0007668711656441718
症,2,0.0007668711656441718
治,2,0.0007668711656441718
療,2,0.0007668711656441718
栄,2,0.0007668711656441718
料,2,0.0007668711656441718
同,2,0.0007668711656441718
