character,frequencyTot,frequencyRet
a,166721,0.12258320196696626
e,162340,0.11936203002211661
o,146202,0.10749641193355607
s,101549,0.07466486871206061
r,87262,0.06416021598983578
m,76732,0.056417933273728293
i,73359,0.053937902922215425
n,70375,0.05174388852289304
u,67406,0.04956090301632864
d,62530,0.04597577761046539
t,61486,0.045208166674509435
c,49145,0.036134328972754225
l,39273,0.028875847018963813
p,35756,0.02628993929697426
v,23212,0.017066843913227613
h,18530,0.013624358853701002
g,15952,0.01172885981836149
b,14292,0.010508329019810832
f,13801,0.01014731659686603
q,13098,0.009630429156275
ã,11649,0.00856503811585337
á,8574,0.00630411510046586
é,6796,0.0049968236788856995
ç,5885,0.004327002258717237
ê,5650,0.004154216272175427
z,5326,0.0039159921886028895
j,4693,0.0034505729142158014
x,2862,0.0021043127382240835
ó,2304,0.0016940379276269351
í,2140,0.001573455366806268
ú,1000,0.0007352595171991906
õ,763,0.0005610030116229824
k,711,0.0005227695167286245
y,662,0.0004867418003858642
à,607,0.00044630252693990874
w,484,0.00035586560632440824
â,446,0.000327925744670839
ô,436,0.0003205731494988471
ü,27,1.9852006964378146e-05
',25,1.8381487929979765e-05
ñ,3,2.205778551597572e-06
