character,frequencyTot,frequencyRet
о,62060,0.09286429333504917
а,55778,0.08346414040674141
н,46578,0.06969759998324074
и,41405,0.06195691372120062
т,35898,0.05371644218726385
і,35416,0.05299519517811958
в,34740,0.05198365372961018
е,32699,0.048929576663918346
р,31670,0.047389819044811585
с,27470,0.04110509406886562
к,23818,0.03564037606597165
у,23469,0.03511814534773234
д,23186,0.03469467459340074
л,22089,0.03305316428420724
м,20881,0.031245557672078015
п,19531,0.02922546750123824
я,15983,0.023916371259653412
з,14857,0.02223146642086409
ь,12088,0.018088037026008287
б,11754,0.01758825175411163
г,10019,0.014992061793810144
й,8415,0.012591895398234592
ч,8322,0.012452733630910073
ц,6844,0.010241108984612899
х,6666,0.00997475635467995
ю,6349,0.009500409255304982
ж,6212,0.009295407512041982
ш,5359,0.008019009796689147
є,5327,0.007971126177824797
ї,4806,0.007191521008189595
i,3152,0.0047165364581384945
щ,2954,0.004420256566415328
ф,1665,0.002491444544035721
',589,0.0008813578597219458
’,166,0.00024839627285881666
ґ,32,4.7883618864350196e-05
o,11,1.645999398462038e-05
a,7,1.0474541626576605e-05
x,7,1.0474541626576605e-05
p,3,4.489089268532831e-06
`,3,4.489089268532831e-06
l,3,4.489089268532831e-06
n,3,4.489089268532831e-06
u,3,4.489089268532831e-06
