character,frequencyTot,frequencyRet
n,512,0.12228325770241223
h,380,0.09075710532600907
i,269,0.06424647719130643
c,265,0.06329113924050633
t,255,0.06090279436350609
g,206,0.04919990446620492
a,151,0.03606400764270361
m,140,0.033436828278003344
đ,113,0.0269882971101027
u,101,0.024122283257702413
à,101,0.024122283257702413
o,96,0.022928110819202294
y,92,0.0219727728684022
l,85,0.02030093145450203
v,67,0.0160019106759016
b,64,0.015285407212801529
ó,59,0.014091234774301409
r,59,0.014091234774301409
ư,57,0.013613565798901361
ô,53,0.012658227848101266
k,52,0.012419393360401243
á,49,0.01170288989730117
p,43,0.010269882971101027
ì,42,0.010031048483401002
s,42,0.010031048483401002
ê,37,0.008836876044900884
ấ,35,0.008359207069500836
ả,35,0.008359207069500836
ế,35,0.008359207069500836
e,34,0.008120372581800811
ờ,33,0.007881538094100788
â,33,0.007881538094100788
ạ,30,0.007165034631000717
ớ,30,0.007165034631000717
ố,24,0.005732027704800574
ề,24,0.005732027704800574
ộ,23,0.00549319321710055
ơ,23,0.00549319321710055
ắ,23,0.00549319321710055
ậ,22,0.005254358729400526
ợ,20,0.004776689754000477
ứ,18,0.0042990207786004295
ầ,18,0.0042990207786004295
ệ,17,0.004060186290900406
q,17,0.004060186290900406
ú,17,0.004060186290900406
x,17,0.004060186290900406
ủ,17,0.004060186290900406
d,16,0.0038213518032003822
ọ,15,0.0035825173155003584
ặ,14,0.0033436828278003345
ò,13,0.0031048483401003107
ữ,13,0.0031048483401003107
ể,12,0.002866013852400287
ồ,11,0.002627179364700263
ị,11,0.002627179364700263
ở,11,0.002627179364700263
ù,10,0.0023883448770002386
ũ,10,0.0023883448770002386
é,9,0.0021495103893002148
í,9,0.0021495103893002148
ẹ,8,0.0019106759016001911
ã,8,0.0019106759016001911
ừ,8,0.0019106759016001911
ỉ,7,0.0016718414139001673
ỏ,6,0.0014330069262001434
ă,6,0.0014330069262001434
ẻ,6,0.0014330069262001434
ẫ,5,0.0011941724385001193
ử,5,0.0011941724385001193
ĩ,5,0.0011941724385001193
ẽ,5,0.0011941724385001193
ự,4,0.0009553379508000956
ổ,4,0.0009553379508000956
ý,3,0.0007165034631000717
ễ,3,0.0007165034631000717
ỡ,2,0.0004776689754000478
ẩ,2,0.0004776689754000478
è,2,0.0004776689754000478
ẳ,2,0.0004776689754000478
ụ,2,0.0004776689754000478
ỷ,1,0.0002388344877000239
õ,1,0.0002388344877000239
ỗ,1,0.0002388344877000239
ằ,1,0.0002388344877000239
ỳ,1,0.0002388344877000239
