character,frequencyTot,frequencyRet
이,1331,0.03443814846438459
다,1305,0.0337654273073042
는,994,0.025718647312996456
에,956,0.02473543946803281
의,746,0.01930192243007581
을,642,0.01661103780175425
로,592,0.015317343268907345
지,579,0.014980982690367151
가,558,0.014437630986571451
은,538,0.01392015317343269
하,517,0.01337680146963699
한,515,0.013325053688323114
고,493,0.012755828093870476
그,463,0.011979611374162332
를,421,0.010892907966570933
서,414,0.010711790731972367
기,413,0.010685916841315429
인,401,0.010375430153432171
사,388,0.010039069574891977
스,380,0.009832078449636471
대,354,0.009159357292556082
리,349,0.009029987839271392
했,337,0.008719501151388134
아,332,0.008590131698103444
으,322,0.008331392791534062
시,319,0.008253771119563248
해,314,0.008124401666278558
수,311,0.008046779994307744
자,310,0.008020906103650806
도,309,0.007995032212993868
있,307,0.007943284431679992
들,289,0.0074775543998551065
라,273,0.007063572149344097
었,249,0.006442598773577583
나,241,0.006235607648322078
어,235,0.00608036430438045
전,222,0.005744003725840254
것,220,0.005692255944526378
일,217,0.005614634272555564
년,209,0.0054076431473000595
국,208,0.0053817692566431215
부,208,0.0053817692566431215
적,204,0.0052782736940153695
게,204,0.0052782736940153695
과,198,0.005123030350073741
정,195,0.005045408678102927
되,189,0.004890165334161298
주,182,0.004709048099562731
보,175,0.004527930864964165
제,174,0.004502056974307227
마,163,0.004217444177080908
만,162,0.00419157028642397
중,161,0.004165696395767031
장,156,0.004036326942482341
트,156,0.004036326942482341
드,156,0.004036326942482341
상,155,0.004010453051825403
와,148,0.0038293358172268362
세,145,0.0037517141452560222
러,144,0.0037258402545990842
였,133,0.0034412274573727654
후,131,0.003389479676058889
원,129,0.003337731894745013
성,127,0.0032859841134311365
면,125,0.0032342363321172605
미,124,0.0032083624414603225
동,123,0.0031824885508033845
화,123,0.0031824885508033845
여,122,0.003156614660146446
르,122,0.003156614660146446
유,122,0.003156614660146446
니,122,0.003156614660146446
며,121,0.003130740769489508
구,120,0.00310486687883257
조,114,0.0029496235348909416
공,114,0.0029496235348909416
경,113,0.0029237496442340036
계,112,0.002897875753577065
모,112,0.002897875753577065
발,112,0.002897875753577065
작,111,0.002872001862920127
문,110,0.002846127972263189
역,110,0.002846127972263189
거,110,0.002846127972263189
할,108,0.002794380190949313
당,107,0.002768506300292375
위,106,0.0027426324096354367
오,106,0.0027426324096354367
비,106,0.0027426324096354367
안,105,0.0027167585189784987
우,105,0.0027167585189784987
신,102,0.0026391368470076847
요,101,0.0026132629563507463
생,101,0.0026132629563507463
된,100,0.0025873890656938083
영,98,0.0025356412843799323
분,96,0.002483893503066056
용,96,0.002483893503066056
치,95,0.002458019612409118
통,94,0.00243214572175218
명,94,0.00243214572175218
소,93,0.002406271831095242
연,92,0.002380397940438304
결,91,0.0023545240497813654
데,89,0.0023027762684674894
프,88,0.0022769023778105514
선,87,0.0022510284871536134
운,85,0.002199280705839737
내,85,0.002199280705839737
파,85,0.002199280705839737
간,84,0.002173406815182799
