character,frequencyTot,frequencyRet
о,10297,0.1090206458443621
е,8155,0.08634197988353626
и,7644,0.08093170989941768
а,7425,0.07861302276336686
н,6429,0.06806776071995765
т,5646,0.05977766013763896
с,4917,0.052059290629962944
р,4808,0.05090524086818422
в,4336,0.04590788777130757
л,4290,0.04542085759661196
к,3131,0.03314981471678136
м,3046,0.03224986765484383
д,2928,0.03100052938062467
п,2597,0.02749602964531498
у,2007,0.021249338274219164
ы,1837,0.019449444150344098
я,1832,0.019396506087877182
г,1676,0.017744838538909475
б,1558,0.01649550026469031
з,1494,0.015817893065113817
ь,1474,0.015606140815246161
й,1201,0.012715722604552674
ч,1200,0.01270513499205929
х,858,0.009084171519322393
ж,840,0.008893594494441503
ю,694,0.007347803070407623
ш,565,0.005982001058761249
ц,527,0.005579671784012705
э,356,0.003769190047644256
ф,324,0.0034303864478560085
щ,310,0.00328215987294865
ъ,34,0.0003599788247750132
ё,14,0.0001482265749073584
