repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
17820,,0.5236739618406285,0.47,0.3968886432718294
2,boucʼhili,0.7450000000000001,0.7450000000000001,0.014999999999999958
10,d’ober,0.4029999999999999,0.36,0.08462269199216017
259,petra,0.36185328185328186,0.32999999999999996,0.16926265742819396
276,un,0.17844202898550723,0.17000000000000004,0.0643763299416236
129,dra,0.21821705426356588,0.20000000000000018,0.11305105941446764
41,vat,0.4065853658536585,0.3700000000000001,0.11966640126083766
67,pegoulz,0.46134328358208954,0.44999999999999984,0.13321395115845763
5,eta,0.312,0.2999999999999998,0.02785677655436828
149,ez,0.16711409395973156,0.16000000000000014,0.06779653038986526
8,i,0.21374999999999994,0.19499999999999995,0.13846818226581875
696,da,0.14073275862068965,0.13,0.04947608114062481
5,vakañsiñ,0.7260000000000002,0.7000000000000002,0.13499629624548967
124,karet,0.5133870967741936,0.49499999999999994,0.1298441193022531
101,hoc'h,0.21237623762376234,0.20000000000000018,0.060740456038014
520,eus,0.2021153846153846,0.16999999999999993,0.09800581887084246
320,bet,0.22749999999999998,0.20999999999999996,0.08670351780637277
7,moarvat,0.5342857142857144,0.5300000000000002,0.11586410054852349
1201,e,0.08432972522897586,0.07999999999999985,0.04599610298094006
4,teuy,0.24250000000000002,0.245,0.03344772040064919
14,diwezhatoc'h,0.7828571428571428,0.81,0.1457212883471424
38,daoust,0.3692105263157895,0.3650000000000001,0.05805539908467504
172,hag,0.1916860465116279,0.18999999999999995,0.05396009758035613
484,ur,0.16669421487603306,0.16000000000000003,0.060125741929438176
34,plac'h,0.37970588235294117,0.35499999999999987,0.1377868194438668
108,oc'h,0.2733333333333334,0.23499999999999988,0.14812407211773765
51,nevez,0.45235294117647057,0.42000000000000004,0.12534795860580894
3,flamm,0.33666666666666667,0.32000000000000006,0.06236095644623232
955,eo,0.1717801047120419,0.15999999999999992,0.08270539288676695
359,ma,0.15284122562674093,0.14000000000000012,0.051455201324498136
34,c'harr,0.40088235294117647,0.39,0.11241644340311098
18,tan,0.3405555555555556,0.30999999999999994,0.10335871850675213
343,o,0.09688046647230322,0.08000000000000007,0.05297455517503017
2,parañ,0.725,0.725,0.18499999999999994
206,oa,0.1742233009708738,0.16999999999999993,0.056164880717373515
898,an,0.16379732739420938,0.15999999999999992,0.05377043418056347
15,heol,0.43066666666666664,0.45999999999999996,0.09719167774157529
150,evit,0.2575333333333333,0.25,0.06804838148128305
2,pesketfent,0.855,0.855,0.015000000000000124
371,ha,0.13169811320754718,0.1200000000000001,0.05144358616083171
1,sinadur,0.6300000000000001,0.6300000000000001,0.0
27,ya,0.3096296296296296,0.32999999999999996,0.1230321090724929
15,d’ar,0.18066666666666667,0.17000000000000037,0.027680719322702208
61,brezhoneg,0.642950819672131,0.6599999999999999,0.11466764893570848
2,driwec'hvet,0.7449999999999999,0.7449999999999999,0.00500000000000006
140,sur,0.3939285714285714,0.39,0.07765948041262694
104,out,0.21057692307692305,0.19000000000000006,0.08514497730203063
2,karzent,0.68,0.68,0.20000000000000007
2,teuint,0.41500000000000004,0.41500000000000004,0.004999999999999893
2,disfiz,0.925,0.925,0.17499999999999988
41,doa,0.20853658536585362,0.19999999999999996,0.05399010639311869
59,evel,0.24745762711864405,0.25,0.06776312732510144
80,te,0.22824999999999998,0.22999999999999998,0.07620326436577371
120,me,0.22091666666666665,0.19499999999999995,0.09903699505179309
