repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
27504,sil,0.8108987783595113,0.77,0.30782646549742393
396,表,0.17530303030303027,0.17000000000000004,0.05339162620105349
734,姐,0.17465940054495915,0.15999999999999992,0.06688540822909793
475,放,0.3023157894736842,0.30000000000000004,0.13071827989252666
1445,學,0.24813148788927333,0.22000000000000064,0.12836894011815916
5607,去,0.2245692883895131,0.20000000000000018,0.1478986240702247
3098,左,0.204515816655907,0.1900000000000004,0.09060253746459775
331,銅,0.14075528700906345,0.14000000000000012,0.034242390746139224
331,鑼,0.3228398791540785,0.31999999999999984,0.0956505869520696
2499,灣,0.28606242496998796,0.27,0.107606009711411
216,羅,0.2925,0.28,0.1381298704520898
34,素,0.27117647058823524,0.26499999999999996,0.14525362617489118
5512,街,0.34915094339622643,0.3299999999999996,0.1631024204827286
927,公,0.2391801510248112,0.22000000000000008,0.12121008407703582
591,園,0.26460236886632826,0.2599999999999998,0.09402344774232084
1414,打,0.2672842998585573,0.25,0.15041002825388006
336,韆,0.41136904761904763,0.39999999999999947,0.19471109732858702
336,鞦,0.24964285714285714,0.2549999999999999,0.0842748681479867
27511,sp,0.9202806150267165,0.8299999999999998,0.5099251272548845
27550,,0.0205046718693285,0.020000000000000462,0.002104439555636709
2104,食,0.31192015209125473,0.2899999999999997,0.13615552954276933
52,完,0.25346153846153846,0.24,0.09059386580067141
1937,好,0.21965926690758902,0.20000000000000018,0.11017228521553092
105,走,0.2948571428571428,0.26000000000000023,0.3351449275298368
661,啦,0.4574735249621785,0.43000000000000016,0.23941204072604505
11,响,0.20909090909090908,0.23999999999999977,0.08173733379268731
43,處,0.30325581395348833,0.31999999999999984,0.106786483994335
8,磨,0.3037500000000001,0.27,0.20844288786139953
39,爛,0.3558974358974359,0.26000000000000023,0.5361721783767042
8,蓆,0.37625,0.3999999999999999,0.1929985427406124
300,做,0.22606666666666664,0.22999999999999998,0.0952358242586382
479,乜,0.2226304801670146,0.22999999999999998,0.08633195141459088
12,唧,0.08916666666666669,0.06500000000000017,0.06330591511769564
781,流,0.40055057618437906,0.39000000000000007,0.1942023419496946
695,浪,0.13785611510791368,0.1399999999999999,0.12683476823737444
322,貓,0.3586024844720497,0.3700000000000001,0.1512912447538489
5679,喺,0.22097728473322764,0.19999999999999996,0.13310127459616963
380,葵,0.24860526315789475,0.2400000000000002,0.07822640537960925
594,涌,0.3243265993265993,0.31000000000000005,0.11574659305681674
560,石,0.31487499999999996,0.29000000000000015,0.12278749972731635
908,頭,0.22743392070484583,0.21999999999999975,0.09443386280407808
1325,嘅,0.21128301886792455,0.18999999999999995,0.11490773614012549
325,垃,0.3883384615384616,0.38000000000000034,0.10113057468488287
325,圾,0.12652307692307693,0.1299999999999999,0.041590349358514814
322,桶,0.15,0.14000000000000012,0.06797423699027405
965,搵,0.22494300518134713,0.19999999999999973,0.11604234471577472
434,野,0.19149769585253457,0.20000000000000018,0.06932403207591384
476,司,0.24254201680672266,0.21999999999999997,0.1126217749858992
830,機,0.252710843373494,0.2599999999999998,0.0899410824715613
3551,大,0.24574486060264714,0.23999999999999977,0.09580118346905203
778,佬,0.28751928020565554,0.28,0.11664169759563213
3646,唔,0.19999177180471753,0.17000000000000015,0.1519145504910327
425,該,0.15536470588235293,0.15000000000000013,0.06567958713397919
832,快,0.25326923076923075,0.2400000000000002,0.08322602805350097
1456,啲,0.21278159340659336,0.20000000000000018,0.0844513423317645
2168,，,0.2824031365313653,0.27,0.20903196719926687
930,先,0.22393548387096773,0.21999999999999975,0.08059053633862051
723,九,0.18204702627939143,0.17000000000000004,0.07786012923766088
757,龍,0.24464993394980183,0.23999999999999977,0.09953280715154794
100,啟,0.2555,0.2450000000000001,0.08252726822087356
313,德,0.25169329073482427,0.23999999999999977,0.14225480621437014
298,橋,0.2625838926174497,0.25,0.09142992333744913
713,跌,0.23983169705469845,0.22000000000000064,0.12178764197830062
442,部,0.18092760180995474,0.16000000000000014,0.08336964088291084
489,手,0.29368098159509204,0.27999999999999936,0.13012951101998452
1194,點,0.23020100502512564,0.21999999999999997,0.08315568212501591
347,解,0.24873198847262248,0.22999999999999998,0.22350394122544737
1309,見,0.2485485103132162,0.22999999999999998,0.14823546340998203
498,紅,0.3122690763052209,0.30499999999999994,0.15257584817175857
334,磡,0.23257485029940123,0.20999999999999996,0.15578260636328073
670,環,0.28407462686567164,0.27,0.11556465056703831
3560,道,0.33751123595505617,0.30999999999999994,0.20704335807010166
515,東,0.2632621359223301,0.2400000000000002,0.12384393256947547
466,對,0.20916309012875536,0.19000000000000022,0.10640006297747151
577,開,0.24748700173310229,0.25,0.11147239053614254
1637,嗰,0.1879780085522297,0.18999999999999995,0.08495500698699987
3659,個,0.20375239136376055,0.18000000000000016,0.1269134280519184
1491,巴,0.23921529175050302,0.21999999999999975,0.10414991352769179
1943,士,0.2806896551724138,0.26000000000000023,0.10063942725954712
1127,站,0.28949423247559897,0.2899999999999996,0.1056723591213124
4,潮,0.16000000000000006,0.14500000000000007,0.04527692569068703
121,州,0.27479338842975204,0.26000000000000023,0.10715015473048313
55,音,0.284,0.23999999999999988,0.1656129112226349
370,樂,0.2645945945945946,0.23999999999999977,0.16000159787368667
290,自,0.23572413793103447,0.23999999999999977,0.08569589236996382
104,己,0.25509615384615386,0.24,0.14114909733156214
23,顧,0.2143478260869566,0.1900000000000004,0.0995566732616467
360,耐,0.27211111111111114,0.25,0.17288721078877115
1047,無,0.21598853868194842,0.20999999999999996,0.08078620281872623
1388,西,0.3030835734870317,0.2999999999999998,0.10861985340800809
367,貢,0.2570572207084469,0.2400000000000002,0.08600775895493337
563,北,0.2503552397868561,0.23999999999999977,0.10939790776736448
765,港,0.2729281045751634,0.26000000000000023,0.10430874887796228
3821,路,0.3207799005495943,0.29000000000000004,0.16958550998431499
336,探,0.6340178571428571,0.6300000000000001,0.186019359374434
404,舅,0.18321782178217821,0.19500000000000006,0.08963922231609098
404,父,0.1566831683168317,0.11000000000000032,0.12599854082866146
68,也,0.21279411764705883,0.20999999999999996,0.09111798408778286
3426,有,0.17951255107997666,0.17000000000000004,0.06834095602046318
193,通,0.26367875647668393,0.2599999999999998,0.10776312737319559
1154,風,0.2645667244367418,0.25,0.10562528747294414
221,、,0.22868778280542987,0.1899999999999995,0.2262393664610848
120,保,0.22566666666666668,0.20999999999999996,0.07945369021567776
62,持,0.2933870967741936,0.27,0.13226249009118066
44,雙,0.33068181818181813,0.32999999999999996,0.131363439760784
127,腳,0.29409448818897643,0.28,0.15740691202698792
53,乾,0.2203773584905661,0.22999999999999998,0.09138271716684734
