repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
1072436,sil,0.7532943970549292,0.7,0.3587618307816235
3742335,a,0.08022996605060745,0.06999999999999984,0.05142346521770657
881907,f,0.09262088859709691,0.08999999999999986,0.04745293104256983
4103641,t,0.06796961283893983,0.05999999999999961,0.04432459453949871
5643831,e,0.06374490129133907,0.050000000000000044,0.043840991487281655
2763390,r,0.07433625004071082,0.06000000000000005,0.04980883376227997
2458109,h,0.04839782938836317,0.03000000000000025,0.03349476701791194
847612,p,0.08277360396030259,0.07999999999999996,0.039664341198383246
3375826,o,0.07941602440410139,0.06000000000000005,0.05456749987272172
75828,j,0.10157989133301683,0.09999999999999998,0.033586799881254625
1289678,c,0.08888586143207836,0.08000000000000007,0.03941836469045015
950891,w,0.07630442395605806,0.0699999999999994,0.04669435455532933
3015476,s,0.10998156841573271,0.09999999999999987,0.05993926401642907
707604,b,0.06637469545112804,0.06000000000000005,0.032791329771309524
3066905,n,0.07310024601348915,0.06000000000000005,0.04651646504991285
1798009,d,0.06350848633126974,0.050000000000000044,0.04388143483160157
2189645,sp,0.4070230060123903,0.2499999999999991,0.47589819292447616
1078415,,0.020211374146316605,0.020000000000000018,0.002419357453700309
3258369,i,0.07185742007734541,0.05999999999999961,0.04847291265607198
1901745,l,0.07425568622501966,0.06000000000000005,0.047707131124760147
459566,v,0.06301941396883147,0.05999999999999994,0.031201236989444738
44715,z,0.1025257743486526,0.09999999999999964,0.050531147081178215
915485,g,0.06504957481553492,0.05999999999999961,0.040284249684551424
38117,q,0.10671904924311987,0.10999999999999943,0.04169685865355112
1244788,u,0.06476124448500474,0.04999999999999993,0.04530190578672014
1146977,m,0.07813127900559469,0.07000000000000006,0.04340878018575216
382707,k,0.08232820408301915,0.07000000000000006,0.052904194105106835
911236,y,0.10690832012782639,0.08999999999999986,0.07186061771772892
182161,',0.03454262987137751,0.030000000000000027,0.015567101004705795
79361,x,0.16427212358715235,0.14000000000000012,0.08533005609273353
5797,’,0.03080041400724513,0.030000000000000027,0.005155609933275814
68,/,0.0797058823529412,0.040000000000000036,0.10182121858253917
110,ü,0.04881818181818184,0.040000000000000036,0.028911520766951224
41,spn,0.3209756097560976,0.36,0.20275907700410117
100,é,0.12389999999999998,0.10499999999999998,0.0865666795019885
1,û,0.22000000000000064,0.22000000000000064,0.0
4,ø,0.20750000000000002,0.11500000000000021,0.2204965986132209
37,‘,0.030810810810810794,0.030000000000000027,0.0035855403138977423
6,ā,0.075,0.03499999999999992,0.06130524719249851
2,ī,0.039999999999999925,0.039999999999999925,0.009999999999999898
64,ö,0.078125,0.06999999999999962,0.04866579265767693
88,ä,0.05409090909090908,0.03000000000000025,0.03915692100778501
33,ó,0.0887878787878788,0.07000000000000028,0.06740908920629075
210,—,0.23085714285714284,0.15000000000000016,0.21599653562351534
1,χ,0.22000000000000064,0.22000000000000064,0.0
3,α,0.029999999999999805,0.029999999999999805,3.6259732146947156e-16
42,á,0.07928571428571425,0.07999999999999985,0.040672493170203765
30,ō,0.1513333333333334,0.14000000000000012,0.07740513907716694
19,–,0.08052631578947364,0.03999999999999959,0.09789756645599293
9,ã,0.15777777777777774,0.16999999999999993,0.11904973543092333
20,ú,0.055500000000000015,0.04999999999999982,0.022242976419535262
23,ñ,0.14652173913043484,0.15999999999999992,0.06026093230437782
4,ç,0.09500000000000008,0.03000000000000025,0.112583302491977
2,ă,0.4500000000000004,0.4500000000000004,0.010000000000000009
6,ć,0.1383333333333334,0.1399999999999999,0.09822027398771702
5,č,0.1959999999999998,0.14,0.14691494137765554
1,ğ,0.17999999999999972,0.17999999999999972,0.0
25,ß,0.08280000000000008,0.08000000000000007,0.031179480431848157
2,å,0.04999999999999993,0.04999999999999993,1.1102230246251565e-16
4,ạ,0.13500000000000006,0.135,0.07500000000000005
4,š,0.135,0.12500000000000003,0.026925824035672483
1,ụ,0.17999999999999994,0.17999999999999994,0.0
10,í,0.07800000000000001,0.04499999999999993,0.0682348884369279
3,à,0.363333333333333,0.029999999999999805,0.47140452079103146
5,è,0.13200000000000006,0.03000000000000025,0.12528367810692656
1,в,0.03000000000000025,0.03000000000000025,0.0
1,е,0.03000000000000025,0.03000000000000025,0.0
1,л,0.39999999999999947,0.39999999999999947,0.0
2,и,0.03000000000000025,0.03000000000000025,0.0
2,к,0.11500000000000021,0.11500000000000021,0.03500000000000014
1,й,0.02999999999999936,0.02999999999999936,0.0
1,н,0.03000000000000025,0.03000000000000025,0.0
1,я,0.02999999999999936,0.02999999999999936,0.0
1,з,0.03000000000000025,0.03000000000000025,0.0
1,ь,0.20999999999999996,0.20999999999999996,0.0
2,œ,0.029999999999999694,0.029999999999999694,3.3306690738754696e-16
1,æ,0.029999999999999805,0.029999999999999805,0.0
1,þ,0.03000000000000025,0.03000000000000025,0.0
6,ð,0.16500000000000004,0.15500000000000025,0.03201562118716431
1,≡,0.1299999999999999,0.1299999999999999,0.0
1,ṃ,0.03000000000000025,0.03000000000000025,0.0
4,ū,0.08999999999999997,0.08499999999999996,0.050497524691810326
12,â,0.0783333333333333,0.030000000000000027,0.07525881269917088
1,ě,0.6099999999999999,0.6099999999999999,0.0
2,π,0.135,0.135,0.014999999999999902
1,`,0.03000000000000025,0.03000000000000025,0.0
3,ł,0.030000000000000027,0.030000000000000027,1.8129866073473578e-16
1,ń,0.07999999999999985,0.07999999999999985,0.0
5,ë,0.07999999999999999,0.03000000000000025,0.06324555320336743
3,ô,0.030000000000000176,0.03000000000000025,1.0467921910653142e-16
1,京,0.029999999999999805,0.029999999999999805,0.0
1,都,0.029999999999999805,0.029999999999999805,0.0
1,大,0.03000000000000025,0.03000000000000025,0.0
1,阪,0.16999999999999993,0.16999999999999993,0.0
1,ř,0.3899999999999997,0.3899999999999997,0.0
1,ž,0.02999999999999936,0.02999999999999936,0.0
1,ő,0.030000000000000027,0.030000000000000027,0.0
1,ʻ,0.76,0.76,0.0
1,ę,0.09000000000000008,0.09000000000000008,0.0
1,ê,0.23000000000000043,0.23000000000000043,0.0
1,ﬂ,0.08999999999999986,0.08999999999999986,0.0
