repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
2166,baina,0.3369482917820868,0.3100000000000004,0.09534022754243231
7560,ez,0.17509259259259258,0.16999999999999993,0.06467635974716639
357,al,0.13100840336134453,0.1200000000000001,0.036590543952136685
860,gara,0.29424418604651165,0.29000000000000004,0.07270115781745118
42,hauteskunde,0.6376190476190476,0.6199999999999999,0.10688059268058801
66,bakoitzean,0.6525757575757576,0.6400000000000001,0.09899977631770543
9,autodeterminatzen,1.1544444444444446,1.1599999999999997,NA
35,estatuek,0.5828571428571427,0.5800000000000001,0.1003397589537206
79,herritarrak,0.6491139240506331,0.6499999999999999,0.09196138924204812
40,babestu,0.45025000000000004,0.44000000000000006,0.0702919734995507
2258,behar,0.23741806908768823,0.22999999999999987,0.061283160501809014
868,dituzte,0.5152534562211981,0.5100000000000002,0.08069224888870462
42,ados,0.41404761904761905,0.41999999999999993,0.10053659748179858
411,hemen,0.33362530413625296,0.32000000000000006,0.07411096322632776
9,zarenez,0.6799999999999999,0.6799999999999999,NA
9,baitezpadakoa,0.9733333333333333,0.9900000000000002,NA
10621,da,0.18765558798606535,0.18999999999999995,0.06728514255571748
211,galdera,0.43568720379146925,0.43000000000000016,0.07713856905256487
297,askotan,0.5367003367003367,0.5299999999999998,0.09150332902610278
8,topoan,0.37875,0.375,NA
283,sartu,0.3730742049469965,0.3599999999999999,0.07976084469487592
12922,eta,0.22993112521281536,0.22000000000000008,0.06478318318496766
8,hendaiara,0.54375,0.53,NA
10,iristean,0.5660000000000001,0.55,NA
194,espainiako,0.6411855670103092,0.6200000000000001,0.1078770005689321
83,poliziak,0.6120481927710844,0.6100000000000001,0.10417807264422216
342,hartzen,0.37769005847953213,0.3600000000000003,0.0667000803746945
1324,ditu,0.33565709969788515,0.33000000000000007,0.0742263108195857
303,berriz,0.451023102310231,0.4400000000000004,0.1006762373280271
43,borrokan,0.5079069767441861,0.5,0.0833683204516441
100,hasten,0.34869999999999995,0.33000000000000007,0.054358610963292524
8,bazarete,0.5987500000000001,0.555,NA
17,kalera,0.3735294117647059,0.3599999999999999,NA
8,botako,0.3437500000000001,0.33000000000000007,NA
16,zaituztet,0.67875,0.6949999999999996,NA
2,zurrumurru,0.635,0.635,NA
4123,bat,0.2302279893281591,0.2100000000000002,0.06639899994064512
144,egongo,0.3568055555555556,0.34999999999999976,0.056884778375924164
60,sekulako,0.6128333333333335,0.6000000000000001,0.08768378600222285
7,iskanbila,0.54,0.55,NA
579,sortu,0.37134715025906734,0.3600000000000001,0.06192624844971022
7,zezena,0.4342857142857143,0.43999999999999995,NA
14,kafetegian,0.6721428571428572,0.67,NA
83,denean,0.4334939759036145,0.43000000000000016,0.07026836596898085
18,esperanto,0.6183333333333334,0.62,NA
591,hizkuntza,0.5223857868020305,0.5099999999999998,0.09020819648400492
34,berariaz,0.608235294117647,0.5850000000000002,0.10187546135192939
17,sortutakoa,0.8252941176470587,0.8300000000000001,NA
9,politikariei,0.8188888888888888,0.8599999999999999,NA
73,mezua,0.44958904109589043,0.43000000000000016,0.09271279361801489
41,bidali,0.36756097560975604,0.3599999999999999,0.049738339729271094
1507,nahi,0.19892501658925016,0.18999999999999995,0.056431383235403206
