repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
21883,de,0.10501987844445458,0.09000000000000008,0.05422024398274613
21,hijskraan,0.6190476190476191,0.5699999999999998,0.12123962891335334
2964,was,0.20381241565452093,0.18999999999999995,0.06419658390273007
9,gigantisch,0.9155555555555558,0.9000000000000001,NA
86,ten,0.18662790697674414,0.18500000000000005,0.04241560381902421
205,tweede,0.3296585365853659,0.32000000000000006,0.05072397901256887
463,moeten,0.26803455723542113,0.26,0.048815214945127854
212,wij,0.17500000000000002,0.16000000000000003,0.06779883822349007
14,ervoor,0.3835714285714285,0.32499999999999984,NA
32,zorgen,0.4828125,0.5,0.09528342695145312
2991,dat,0.18073553995319291,0.17000000000000004,0.05390125311771386
10702,een,0.12892730330779292,0.12,0.04201993270581032
1,fasering,0.5800000000000001,0.5800000000000001,NA
753,uit,0.22434262948207173,0.19999999999999973,0.09550467573488518
3,kernenergie,0.8933333333333332,0.9099999999999997,NA
2,organiseren,0.8300000000000001,0.8300000000000001,NA
6045,je,0.10366253101736972,0.09000000000000008,0.04195880469076783
62,wacht,0.3301612903225808,0.29500000000000004,0.09910239671356766
135,best,0.3140740740740741,0.2799999999999999,0.09148277952541649
370,tot,0.17832432432432438,0.17000000000000026,0.03950098901307483
10138,het,0.14986683764056027,0.14,0.04703471065284214
13,solden,0.5015384615384616,0.5,NA
7387,is,0.16578313253012048,0.15000000000000002,0.06565067746159334
2316,voor,0.19507340241796198,0.17999999999999994,0.06524347992246148
519,nieuwe,0.25329479768786123,0.25,0.04975744052844375
6,kleedjes,0.4183333333333333,0.41500000000000004,NA
19,koopt,0.41947368421052633,0.3899999999999997,NA
330,hoe,0.16815151515151516,0.16000000000000003,0.050510236232497355
80,hoog,0.32325,0.29499999999999993,0.09101084926284508
59,hoogste,0.4001694915254237,0.3900000000000001,0.08152620745172152
7,wolkenkrabber,0.7371428571428572,0.69,NA
57,ter,0.1675438596491228,0.16000000000000014,0.03878883776084418
121,wereld,0.4686776859504132,0.48999999999999977,0.09849654942145884
464,onze,0.26476293103448273,0.26,0.046603282321526905
246,kinderen,0.45796747967479673,0.44999999999999984,0.0902464593649399
3575,zijn,0.2353958041958042,0.21999999999999975,0.08563338348677517
67,nogal,0.3061194029850746,0.28,0.08722932548105938
6,verschillend,0.5133333333333333,0.5099999999999999,NA
6243,van,0.17026429601153292,0.16000000000000014,0.04902651152548358
