repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
102399,,0.6355326620377151,0.63,0.3914529217430917
3524,você,0.3230760499432463,0.29000000000000004,0.10775684099709341
109,joga,0.38440366972477064,0.3400000000000003,0.11244922354752555
214,futebol,0.6325233644859813,0.64,0.11116707522004572
5,samuel,0.5900000000000001,0.5800000000000001,0.03033150177620615
966,dois,0.3624948240165632,0.32999999999999996,0.14185289479608468
39,velhos,0.4515384615384615,0.44999999999999996,0.10745394867017505
2918,com,0.19619945167923233,0.18999999999999995,0.056742603661584325
32,chapéus,0.6715625,0.655,0.1420191310836326
1195,estão,0.32223430962343097,0.30999999999999983,0.0773825707366464
11572,de,0.12889820255789838,0.1200000000000001,0.04716766330898931
234,pé,0.2855555555555555,0.28000000000000025,0.08760287670845829
199,entre,0.29929648241206036,0.29000000000000004,0.08426750619718076
1589,os,0.1629389553178099,0.15000000000000013,0.058603289581909676
28,carros,0.4792857142857142,0.4600000000000001,0.10816417981900646
380,seus,0.3047105263157895,0.29000000000000004,0.07836601300602088
3,acordeões,0.9833333333333337,0.9900000000000002,0.06548960901462839
486,quando,0.30491769547325104,0.29000000000000004,0.07958672454566317
148,cães,0.4035135135135135,0.37999999999999995,0.10457678457209807
3,pegam,0.5233333333333332,0.5399999999999996,0.07845734863959866
250,algo,0.33996000000000004,0.32000000000000006,0.10519504931316871
5580,que,0.146747311827957,0.13000000000000012,0.05853477309456758
6,sentem,0.6816666666666665,0.6349999999999998,0.14299378385867753
3479,eu,0.15742167289450995,0.14999999999999997,0.06993236252214452
89,preciso,0.5056179775280899,0.48,0.1112942759380902
187,disso,0.48614973262032085,0.49,0.10149228277310227
3680,para,0.2296413043478261,0.21999999999999997,0.057751168164684195
69,chegar,0.4626086956521739,0.43999999999999995,0.10588005483254226
145,às,0.1973103448275862,0.1899999999999995,0.06436164173999373
30,pirâmides,0.744,0.76,0.11499565209172045
2035,ele,0.23004422604422603,0.21999999999999975,0.08679750225591383
667,disse,0.40667166416791606,0.38000000000000034,0.10705272765525381
411,todos,0.38038929440389296,0.3599999999999999,0.10871666463823174
58,devem,0.34327586206896543,0.32500000000000007,0.07474988019906169
3,remar,0.5066666666666667,0.52,0.05792715732327594
9,remos,0.5288888888888886,0.5499999999999998,0.08116436607888727
673,tem,0.20488855869242198,0.19000000000000006,0.06748525392725033
1766,por,0.18241789354473384,0.17999999999999972,0.050134448875790674
230,favor,0.5204347826086956,0.5100000000000001,0.09728390817689289
24,traga,0.34541666666666665,0.335,0.06291390722425542
6301,a,0.08926043485161085,0.08000000000000007,0.05724921314216746
17,mamãe,0.45764705882352935,0.48,0.10816813773362864
144,volta,0.45076388888888885,0.45999999999999996,0.09368297501199867
430,minha,0.251046511627907,0.23000000000000004,0.08732762515801192
81,primeira,0.42728395061728397,0.41000000000000003,0.07341766776429348
21,biblioteca,0.800952380952381,0.75,0.21577997528136456
7,deep,0.2685714285714286,0.26000000000000023,0.019587584572574403
12,learning,0.5041666666666665,0.4800000000000001,0.1465411394645051
856,foi,0.2383528037383178,0.21999999999999997,0.08903806713244121
2,theano,0.6000000000000001,0.6000000000000001,0.0
3904,não,0.2192546106557377,0.19999999999999996,0.08974966738860264
70,houve,0.3654285714285714,0.32,0.16043410498025762
48,resposta,0.7054166666666665,0.73,0.12370930868594954
465,dos,0.20397849462365594,0.19999999999999996,0.04990614384454853
3,anciãos,0.7600000000000001,0.6900000000000002,0.10614455552060437
48,devo,0.315625,0.29,0.09059769703658771
9,anunciar,0.6444444444444444,0.6500000000000004,0.12437498061293968
108,lhe,0.1733333333333333,0.1500000000000002,0.08103497187428815
337,quero,0.2835311572700297,0.27,0.0696898155702086
61,reservar,0.6029508196721313,0.5800000000000001,0.12333274015609197
10104,um,0.1422624703087886,0.13,0.07207936919846074
59,bar,0.351864406779661,0.3599999999999999,0.08988645523557809
9,ostras,0.5655555555555555,0.5700000000000003,0.07875575620741936
262,cinco,0.5230152671755726,0.46499999999999986,0.19498598441441475
1306,pessoas,0.5427794793261869,0.5100000000000002,0.13384298156296645
8869,o,0.0901657458563536,0.08000000000000007,0.0567759097665725
3,cacho,0.3933333333333333,0.32,0.11085526098877256
6,uvas,0.36166666666666664,0.36499999999999994,0.08414603707576222
3,espremido,0.5700000000000001,0.6199999999999999,0.09273618495495697
5282,em,0.1419594850435441,0.13000000000000078,0.06009839737039447
86,vinho,0.4156976744186047,0.4150000000000001,0.1002849509644419
613,três,0.3762153344208809,0.33000000000000007,0.14226677818784159
7,pasta,0.4328571428571428,0.3999999999999999,0.07703696435835873
742,pode,0.3089622641509434,0.30000000000000004,0.0714058004185801
24,limpar,0.47458333333333336,0.43999999999999995,0.12048441001040572
22,latão,0.46954545454545465,0.47999999999999987,0.08036718420798783
1274,mais,0.3089324960753532,0.28000000000000025,0.10004688145437649
14,sujo,0.5128571428571428,0.48999999999999977,0.08721308645484119
928,como,0.28243534482758625,0.27,0.07545334337592492
3870,é,0.10852971576227391,0.09999999999999998,0.06773091249314711
3,sabido,0.7000000000000001,0.6900000000000002,0.03741657386773943
327,essa,0.29987767584097863,0.27,0.1078989660361141
12,estratégia,0.7825000000000001,0.75,0.07969995817648426
19,identidade,0.7800000000000001,0.7399999999999998,0.16383560438182504
2419,do,0.12858205870194295,0.1200000000000001,0.041177563763310054
3,nacionalismo,0.8000000000000002,0.8300000000000001,0.06480740698407873
3,fracassou,0.7366666666666669,0.7100000000000009,0.06798692684790374
11,peguei,0.3490909090909091,0.35,0.06430814248664508
6,tábuas,0.44666666666666677,0.4450000000000001,0.0803464719546263
114,madeira,0.5769298245614035,0.5800000000000001,0.09245318581117629
6,bétula,0.64,0.6700000000000002,0.11718930554164633
4590,e,0.10322875816993465,0.09999999999999987,0.05747245206142166
6,trabalhei,0.5466666666666666,0.52,0.08498365855987977
15,numa,0.2786666666666667,0.25,0.1270100608438385
4,estante,0.6425000000000001,0.645,0.0303108891324554
189,acho,0.3164550264550264,0.3099999999999996,0.08718783674831683
28,conheço,0.5317857142857142,0.5150000000000001,0.09242964781885933
367,esse,0.2816621253405995,0.26,0.09412274008117039
989,ela,0.25210313447927196,0.24,0.08669196003998544
104,respondeu,0.6187499999999999,0.6100000000000002,0.10083962419452143
31,raiva,0.47387096774193554,0.48,0.08419169445493128
115,olhos,0.39591304347826084,0.3699999999999999,0.12519824732884843
7,pontapé,0.5785714285714286,0.56,0.10259888211985987
2228,na,0.14473967684021544,0.13999999999999968,0.045608537523671715
3,bunda,0.5100000000000001,0.51,0.016329931618554446
31,passo,0.4522580645161291,0.4700000000000002,0.08638659085833211
293,frente,0.46075085324232085,0.43999999999999995,0.0969612499969883
847,mas,0.28537190082644626,0.2699999999999999,0.09656471211587005
896,menino,0.42943080357142854,0.4099999999999999,0.11142246718681618
762,estava,0.4083070866141732,0.3899999999999998,0.10124627689426662
22,quieto,0.555,0.56,0.10886814376700255
39,procure,0.4892307692307691,0.47,0.11069441918122983
46,imagem,0.5091304347826088,0.5050000000000001,0.10092670795221569
15,diário,0.47400000000000014,0.49,0.11464728518373223
3,económico,0.5666666666666669,0.5300000000000002,0.051854497287013426
3,karobar,0.7033333333333335,0.71,0.06548960901462839
3,camas,0.5633333333333334,0.5700000000000001,0.024944382578492966
