repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
8885,,0.5439882948790095,0.5599999999999996,0.4087615013338776
33,оттон,0.4654545454545455,0.4600000000000004,0.0731992262374616
4,лэгэнтэй,0.5825,0.5950000000000001,0.09148087231765986
1,бинтиэпкэтин,0.75,0.75,0.0
1,сүкпүтүнэн,0.6499999999999999,0.6499999999999999,0.0
1,дьулуруччу,0.6200000000000001,0.6200000000000001,0.0
14,сүүрэн,0.4521428571428571,0.46999999999999986,0.07311229830381019
1,хорохоччуйа,0.54,0.54,0.0
24,турда,0.4212499999999999,0.4299999999999997,0.05293962756448769
33,онуоха,0.47121212121212125,0.4600000000000001,0.0812313410092873
39,эн,0.24307692307692313,0.22999999999999998,0.0756223358048654
13,остуолга,0.543846153846154,0.52,0.09888131670290097
28,олорон,0.402142857142857,0.375,0.10206290577234155
29,иһэн,0.32931034482758625,0.32000000000000006,0.07267931615275984
4,айан,0.30500000000000016,0.26000000000000023,0.12175795661885924
17,киһитэ,0.398235294117647,0.3900000000000001,0.08297662988617004
3,сылайдым,0.6366666666666667,0.6500000000000004,0.07408703590297615
1,тоҥнум,0.40000000000000036,0.40000000000000036,0.0
55,даҕаны,0.36272727272727284,0.3500000000000001,0.08007847390823
16,эйиэхэ,0.40812500000000007,0.41499999999999987,0.1057248049182405
1,кэһиибин,0.5899999999999999,0.5899999999999999,0.0
85,<unk>,0.4555294117647061,0.4700000000000002,0.2109614176174956
41,онно,0.3360975609756098,0.31999999999999995,0.0936229607229923
2,чубукулары,0.675,0.675,0.135
1,ытаары,0.5,0.5,0.0
2,күөлэһэп,0.45999999999999996,0.45999999999999996,0.04999999999999982
1,бааскалара,0.5999999999999996,0.5999999999999996,0.0
1,уучаҕы,0.6800000000000002,0.6800000000000002,0.0
1,мииммитинэн,0.5700000000000003,0.5700000000000003,0.0
7,тахсыбыта,0.5871428571428572,0.5300000000000002,0.11840780448629769
86,үһү,0.2552325581395349,0.22999999999999998,0.08418869647634498
1,уоллааҕын,0.64,0.64,0.0
9,истэн,0.37222222222222223,0.37,0.039659040661277206
217,баран,0.3224423963133641,0.31999999999999995,0.06622143867268214
81,хайдах,0.40086419753086416,0.3899999999999997,0.07260917757970053
176,эрэ,0.19840909090909092,0.1900000000000004,0.07098153350818474
6,уоскуйан,0.5783333333333334,0.5599999999999998,0.06914156170897176
12,хаалбыта,0.5608333333333334,0.5550000000000004,0.05376776192312852
23,элбэх,0.3747826086956522,0.37,0.08339896596259154
4,оҕолоох,0.4725000000000001,0.44999999999999996,0.0852569645248999
1,сэниэтик,0.49,0.49,0.0
39,олорор,0.38871794871794874,0.3700000000000001,0.08412992050392869
26,ыал,0.25769230769230766,0.2599999999999998,0.05878956555164771
4,эбиттэр,0.5499999999999998,0.4949999999999999,0.1550806241927084
82,онтон,0.45304878048780484,0.44999999999999996,0.07418975381872836
1,оллоонун,0.65,0.65,0.0
10,оҥостон,0.5049999999999999,0.48499999999999965,0.07158910531638185
17,уу,0.21882352941176464,0.20999999999999996,0.06434121841823671
4,баһан,0.3424999999999999,0.33999999999999986,0.03832427429188957
8,таһааран,0.49125,0.4949999999999999,0.06790388427770541
3,уотун,0.37000000000000016,0.3600000000000003,0.06976149845485456
1,отунна,0.48999999999999977,0.48999999999999977,0.0
173,ол,0.23450867052023125,0.22999999999999998,0.058204504771444725
16,саас,0.38375000000000004,0.3550000000000001,0.088802801194557
1,предприятиеҕа,0.9099999999999999,0.9099999999999999,0.0
4,сүөһү,0.4550000000000001,0.41000000000000014,0.14186260959111124
17,бөҕө,0.2888235294117647,0.27000000000000046,0.08519060656179628
5,охтон,0.4240000000000001,0.4600000000000004,0.09178235124467024
3,өлбүтэ,0.47666666666666657,0.45999999999999996,0.07845734863959895
20,хас,0.2765,0.2749999999999999,0.08433712112705768
4,биирдии,0.3999999999999999,0.36499999999999994,0.06964194138592068
6,бэйэлэрэ,0.4250000000000001,0.42000000000000004,0.0649999999999999
2,чуумпуран,0.5899999999999999,0.5899999999999999,0.14000000000000012
1,иһиллэнэ,0.56,0.56,0.0
1,толкуйдана,0.6599999999999997,0.6599999999999997,0.0
10,олордулар,0.5750000000000002,0.5750000000000002,0.06020797289396151
4,музыка,0.4600000000000001,0.4650000000000001,0.04062019202317973
1,тохтоотун,0.5900000000000001,0.5900000000000001,0.0
66,кытта,0.35166666666666657,0.33000000000000007,0.09505314834397124
6,уонча,0.44500000000000006,0.44500000000000006,0.09322910847298002
92,буолан,0.3870652173913043,0.3800000000000001,0.08250873528824565
6,кинилэри,0.4266666666666666,0.42499999999999993,0.07340905181848392
1,төгүрүйэн,0.5099999999999998,0.5099999999999998,0.0
4,кэбистилэр,0.6500000000000002,0.655,0.036742346141747644
72,ону,0.2623611111111111,0.25000000000000006,0.06321245164688583
