repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
4524,sil,0.7143523430592397,0.69,0.23859586041606895
1433,š,0.16482205163991626,0.15999999999999992,0.05496163492968417
12534,a,0.10517392691878091,0.10000000000000009,0.047876205683337544
1098,h,0.127040072859745,0.1299999999999999,0.05572081261816751
6403,j,0.07870529439325318,0.07000000000000006,0.0384945641375905
14078,e,0.09223611308424493,0.08000000000000007,0.046125802483947945
2514,z,0.1259228321400159,0.1299999999999999,0.03989898257394073
2580,b,0.09396124031007752,0.0900000000000003,0.03213052428314379
4501,v,0.08359253499222395,0.07999999999999985,0.04034567562022116
7253,n,0.08649248586791672,0.08000000000000007,0.03397018351919166
4623,k,0.09341120484533853,0.08999999999999997,0.027908976068367883
5440,t,0.08461764705882353,0.07999999999999996,0.03069658412293799
9811,i,0.094998471103863,0.08999999999999986,0.043585452507400334
11115,o,0.09683850652271705,0.08999999999999986,0.046468545240139464
5634,s,0.1531221157259496,0.15000000000000013,0.03971674196786298
6294,sp,0.4080489354941214,0.33000000000000007,0.3535609044336288
4528,,0.02016475265017668,0.020000000000000018,0.002615912442536241
3668,p,0.08506270447110141,0.08000000000000007,0.03163521281327901
1740,g,0.08342528735632185,0.08000000000000007,0.03238583207469433
2327,u,0.09679415556510529,0.09000000000000008,0.041841395337390924
3951,m,0.10279422930903569,0.09999999999999998,0.039704526601599364
4083,d,0.08426891991182955,0.08000000000000007,0.03240273119604605
5757,l,0.07837241618898733,0.07000000000000028,0.03362797400519512
6156,r,0.07650584795321638,0.06999999999999984,0.03370393588197966
2088,č,0.1341044061302682,0.12999999999999995,0.04471881733973045
786,c,0.14572519083969465,0.1399999999999999,0.05461450190515157
834,ž,0.13823741007194243,0.13000000000000012,0.047583184674797364
86,f,0.145,0.15000000000000013,0.04398070401416279
10,w,0.15000000000000002,0.16,0.045825756949558406
4,y,0.12500000000000003,0.14499999999999996,0.05678908345800261
2,x,0.24,0.24,0.010000000000000009
