repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
10966,,0.5372329016961518,0.5390000000000001,0.3485701131215094
6,šah,0.5516666666666666,0.55,0.09805044053388488
1611,je,0.14617008069522036,0.14,0.05949022734473233
2,zabavna,0.6649999999999999,0.6649999999999999,0.1050000000000001
1,aktivnost,1.02,1.02,0.0
1,pogumen,0.5500000000000002,0.5500000000000002,0.0
4,napad,0.6975,0.7150000000000001,0.05931905258852342
6,pol,0.27166666666666667,0.2600000000000001,0.05209499869362603
1,zmage,0.6099999999999999,0.6099999999999999,0.0
277,na,0.1716967509025271,0.16999999999999993,0.0427528590500377
2,vročem,0.48,0.48,0.06999999999999995
4,soncu,0.5125,0.51,0.0549431524395898
609,se,0.23123152709359604,0.22999999999999998,0.053304225760017206
2,vila,0.5650000000000001,0.5650000000000001,0.0050000000000000044
3,ozka,0.5366666666666667,0.54,0.028674417556808867
2,tlakovana,0.7100000000000002,0.7100000000000002,0.010000000000000009
4,cesta,0.5824999999999999,0.5999999999999999,0.056291651245988616
2,greta,0.5199999999999999,0.5199999999999999,0.10999999999999999
2,vozila,0.5499999999999999,0.5499999999999999,0.04999999999999993
23,lepo,0.4491304347826087,0.44999999999999973,0.08303551065806572
2,jadrnico,0.845,0.845,0.06500000000000017
72,tudi,0.30611111111111117,0.30000000000000004,0.044427079941166105
2,lev,0.25999999999999995,0.25999999999999995,0.02999999999999986
25,mora,0.34879999999999994,0.33999999999999986,0.06107831038920445
2,braniti,0.59,0.59,0.07000000000000017
27,pred,0.27444444444444444,0.27,0.061483712587808534
2,muho,0.4750000000000001,0.4750000000000001,0.04499999999999993
7,moral,0.42285714285714293,0.38,0.07703696435835856
142,bi,0.16239436619718312,0.16000000000000003,0.04129811879671504
32,biti,0.38625,0.3899999999999998,0.07347406004842795
29,tukaj,0.42103448275862076,0.41000000000000014,0.07635420308130218
38,tega,0.36526315789473696,0.365,0.06306791836480576
47,nikoli,0.5491489361702128,0.5599999999999996,0.07324775175502754
609,ne,0.19592775041050906,0.18000000000000016,0.07475521982882048
86,bo,0.19604651162790698,0.18499999999999994,0.05855387242705089
5,storila,0.6100000000000001,0.5700000000000001,0.09695359714832663
2,paradižnikova,0.9299999999999999,0.9299999999999999,0.15999999999999998
3,omaka,0.6333333333333334,0.6099999999999999,0.04784233364802443
78,bila,0.3573076923076923,0.3500000000000001,0.07513531514443819
2,odlična,0.6699999999999999,0.6699999999999999,0.08999999999999986
3,srečnejše,0.9433333333333334,0.94,0.07760297817881878
17,živi,0.5058823529411764,0.5200000000000002,0.08997116031585518
141,kdor,0.38595744680851063,0.3899999999999999,0.08744585942781892
48,o,0.13770833333333332,0.11500000000000016,0.09356903831158873
11,svoji,0.48363636363636364,0.48999999999999977,0.08885869551481747
9,sreči,0.61,0.5900000000000003,0.09533566430716724
11,molči,0.5681818181818182,0.5500000000000003,0.10743439281873654
1,praženi,0.6699999999999999,0.6699999999999999,0.0
1,rezanci,0.7,0.7,0.0
80,po,0.16,0.15999999999999992,0.039338276525541886
1,tajsko,0.6699999999999999,0.6699999999999999,0.0
71,brez,0.3708450704225353,0.3799999999999999,0.08526258494317553
1,arašidov,0.8300000000000001,0.8300000000000001,0.0
11,vsako,0.5372727272727273,0.5200000000000005,0.06467975784107549
2,poslopje,0.6799999999999999,0.6799999999999999,0.010000000000000009
71,še,0.24492957746478874,0.24,0.05706120359893831
217,ni,0.21944700460829494,0.20999999999999996,0.0594806106561039
2,tempelj,0.4850000000000001,0.4850000000000001,0.08500000000000019
2,dimni,0.615,0.615,0.07500000000000001
2,požari,0.775,0.775,0.015000000000000013
6,nimajo,0.545,0.585,0.07017834423809105
3,plamena,0.5999999999999998,0.6099999999999999,0.03741657386773937
325,in,0.1811076923076923,0.18000000000000016,0.0458761285593895
2,toplote,0.69,0.69,0.050000000000000266
2,uganil,0.5700000000000001,0.5700000000000001,0.07
113,sem,0.31610619469026546,0.30000000000000004,0.08803090394924606
16,toliko,0.5325,0.5300000000000005,0.08663861725581727
57,več,0.37526315789473685,0.3700000000000001,0.09105820893576322
123,pa,0.15065040650406508,0.1499999999999999,0.04215225668617511
24,vem,0.39625000000000005,0.38000000000000006,0.09357761929720874
2,drva,0.38,0.38,0.04000000000000001
32,treba,0.36875,0.37000000000000005,0.049291860382825875
2,pripraviti,0.7999999999999999,0.7999999999999999,0.029999999999999916
17,kadar,0.4047058823529412,0.4099999999999997,0.08282637027213463
185,so,0.22589189189189188,0.2200000000000002,0.0496516425703547
3,češnje,0.54,0.5300000000000002,0.053541261347363305
2,zrele,0.47,0.47,0.010000000000000009
1,vsebuje,0.57,0.57,0.0
1,arašidovo,0.5900000000000001,0.5900000000000001,0.0
3,olje,0.5066666666666667,0.5,0.04109609335312646
16,sonce,0.569375,0.55,0.09549010092674524
