repetitions,orthographic_form,meanDuration,medianDuration,stDevDuration
44879,,0.5793076844403843,0.56,0.4030396733832703
4,hemşirelerden,0.83,0.81,0.0940744386111339
56,ikisi,0.36232142857142857,0.345,0.07528496035133472
4,tecavüze,0.5425,0.5349999999999999,0.08011710179481038
4,uğradığını,0.455,0.45000000000000007,0.09526279441628828
29,söyledi,0.5344827586206896,0.5299999999999998,0.06636296260854482
4,saraybosna'ya,0.9199999999999999,0.9299999999999999,0.07681145747868606
2765,bir,0.18186980108499096,0.16999999999999993,0.07491148031967844
4,niyet,0.27250000000000013,0.27000000000000024,0.025860201081971512
4,mektubu,0.4124999999999998,0.3799999999999999,0.07495832175282464
4,gönderildi,0.55,0.5550000000000002,0.04062019202317965
137,bile,0.2118978102189781,0.20000000000000007,0.052242176751176934
3,i̇lkinde,0.48666666666666664,0.48000000000000004,0.03299831645537219
25,gereken,0.4232000000000001,0.4299999999999997,0.0633542421626208
11,üçte,0.2927272727272727,0.26000000000000023,0.060616665738798765
3,ikilik,0.37333333333333346,0.32999999999999985,0.06847546194724717
19,çoğunluk,0.5010526315789474,0.48,0.09130024135796222
6,sağlanamadı,0.765,0.77,0.08015609770940713
3104,bu,0.15668492268041237,0.1399999999999999,0.07697357763621054
11,adamlar,0.49090909090909096,0.49,0.07464516612913584
200,iyi,0.19459999999999997,0.18000000000000016,0.06718511739961462
812,ve,0.13927339901477834,0.1200000000000001,0.06303950697912251
4,kibardırlar,0.7874999999999999,0.785,0.072929760729074
11,merkezin,0.5836363636363636,0.5700000000000001,0.07888688418151507
1105,iki,0.23624434389140272,0.22999999999999998,0.06428101503047227
691,bin,0.19030390738060782,0.17999999999999994,0.05770873745252788
271,sekiz,0.4092250922509225,0.3700000000000001,0.12945154344775595
42,sonuna,0.35380952380952385,0.3400000000000001,0.05163758233396539
500,kadar,0.31342,0.30000000000000027,0.05824520237753493
15,açılması,0.49600000000000005,0.4900000000000002,0.05619015334854786
200,bekleniyor,0.6475,0.65,0.07826078200478195
18,programın,0.5616666666666666,0.57,0.06652067347825036
164,toplam,0.4440853658536586,0.43000000000000005,0.0728916170394254
51,değeri,0.3996078431372549,0.3900000000000001,0.09697302605169361
640,yüz,0.19034374999999998,0.17000000000000026,0.07204083450333913
270,milyon,0.3472592592592592,0.33999999999999986,0.07740159467808504
264,avro,0.36344696969696966,0.34999999999999987,0.08717718063891833
24,ön,0.23416666666666666,0.22999999999999998,0.03762940634958545
11,şart,0.5136363636363637,0.54,0.08477485983181644
30,hepsi,0.3433333333333334,0.34999999999999987,0.04678556282539403
1134,de,0.14626984126984127,0.12,0.0755620995565422
6,suçsuz,0.4749999999999999,0.47999999999999987,0.06994045086119095
64,olduğunu,0.38640625,0.3799999999999999,0.06503285677976557
21,iddia,0.3285714285714285,0.3299999999999996,0.05583016033221724
118,etti,0.36593220338983057,0.3699999999999999,0.06680654195277172
153,hükümet,0.5041176470588234,0.5,0.09024678881376164
349,yeni,0.24587392550143267,0.24,0.06205318110892116
15,sistem,0.5053333333333333,0.4700000000000001,0.07640826017010352
