"character","frequencyTot","frequencyRet"
"e",3880928,0.159958770181516
"n",2310683,0.095238564322589
"i",2030662,0.0836970426079377
"r",1749507,0.0721087812358163
"s",1625909,0.0670144883046166
"t",1607104,0.0662394095932199
"a",1451529,0.0598271325112979
"h",1127428,0.0464687817831732
"d",1125029,0.0463699030898128
"l",908355,0.0374393311827046
"u",880315,0.0362836169009942
"c",737337,0.0303905456966295
"g",684263,0.0282030143204705
"m",641382,0.0264356040453627
"o",617701,0.0254595530501707
"b",481834,0.0198595732957789
"f",413776,0.0170544519482524
"w",392380,0.0161725809506962
"k",371671,0.0153190257773745
"z",283470,0.0116836778686321
"p",236064,0.00972976234656492
"v",209950,0.00865343129262108
"ü",149531,0.00616316377526518
"ä",129925,0.00535507054390948
"ö",67777,0.00279353947473198
"j",52535,0.00216531561304048
"ß",41322,0.00170315355024381
"y",27811,0.00114627567363222
"x",14048,0.000579011206471736
"q",6864,0.000282910942569903
