"character","frequencyTot","frequencyRet"
"e",5643831,0.124606929425746
"t",4103641,0.0906019518436317
"a",3742335,0.0826248825013537
"o",3375826,0.0745329390861627
"i",3258369,0.0719396728970157
"n",3066905,0.0677124483157745
"s",3015476,0.0665769767232629
"r",2763390,0.0610113135396526
"h",2458109,0.0542711882555998
"l",1901745,0.0419875444535395
"d",1798009,0.0396972164067023
"c",1289678,0.0284740658478145
"u",1244788,0.0274829651111125
"m",1146977,0.0253234517638734
"w",950891,0.0209941806777305
"g",915485,0.0202124717741067
"y",911236,0.0201186605237114
"f",881907,0.0194711222410931
"p",847612,0.0187139424735459
"b",707604,0.0156227856024348
"v",459566,0.0101464959047272
"k",382707,0.00844956982938341
"'",182161,0.00402182894404939
"x",79361,0.00175216630798417
"j",75828,0.00167416321369216
"z",44715,0.000987237011397438
"q",38117,0.000841563528199399
"’",5797,0.000127988660518192
