"character","frequencyTot","frequencyRet"
"e",43464,0.157016881554563
"n",25429,0.0918641238968105
"i",23101,0.0834540534877588
"t",20432,0.0738120956175874
"a",19547,0.0706149683357959
"r",17672,0.0638413935862375
"s",15313,0.0553193334079932
"d",13361,0.048267590522053
"o",13318,0.0481122498744631
"l",10045,0.036288297791634
"k",9708,0.0350708606233134
"m",7518,0.0271593253158292
"h",7438,0.0268703194598481
"f",6472,0.0233805737488756
"w",6408,0.0231493690640907
"j",5635,0.0203568499806727
"y",5473,0.0197716131223109
"g",4767,0.0172211364432772
"b",4282,0.0154690384413914
"p",3972,0.0143491407494644
"u",3695,0.0133484579731297
"c",2724,0.00984064939615839
"û",1480,0.0053466083356514
"'",1060,0.00382932759175033
"z",1010,0.0036486989317621
"ê",934,0.00337414336858001
"ú",909,0.00328382903858589
"â",839,0.00303094891460238
"ô",386,0.00139445325510908
"v",364,0.00131497664471426
