"character","frequencyTot","frequencyRet"
"e",481973,0.112097562904327
"a",473407,0.110105277602373
"i",467384,0.108704444731294
"o",388224,0.0902933655224865
"n",311275,0.072396521989913
"t",290562,0.0675790803065877
"r",278173,0.0646976394233397
"l",274988,0.0639568702560828
"s",226233,0.0526174037726897
"c",182972,0.0425557350302413
"d",153258,0.0356448354899368
"u",133914,0.0311457966292096
"p",120850,0.0281073638502321
"m",111432,0.02591691988878
"g",74701,0.0173740023746478
"v",73581,0.01711351211803
"f",49888,0.0116029802876324
"b",41034,0.00954371177683428
"z",38963,0.00906203738267763
"h",38111,0.0088638787231791
"q",18182,0.0042287802194863
"'",15543,0.00361500005233063
"è",14855,0.0034549846089797
"à",8053,0.00187297146119916
"ò",7144,0.00166155570828347
"y",4138,0.000962418465968227
"k",3903,0.000907762028195744
"ù",3609,0.000839383335833575
"w",3548,0.000825195920071356
"ì",2443,0.000568194372247554
"é",2076,0.000482837297087975
"j",1781,0.000414226024139539
"’",1508,0.000350731524088953
"x",993,0.000230952522162023
