"character","frequencyTot","frequencyRet"
"ା",828,0.0994833593656134
"ର",650,0.0780968400817013
"୍",565,0.0678841763787096
"କ",447,0.0537065961792623
"ି",392,0.0470984020185029
"ମ",371,0.0445752733389403
"ବ",344,0.0413312507509312
"ନ",321,0.0385678241018863
"ତ",285,0.0342424606512075
"ହ",247,0.0296767992310465
"ଦ",236,0.0283551603988946
"େ",213,0.0255917337498498
"ପ",212,0.0254715847651087
"ସ",203,0.024390243902439
"ୋ",193,0.0231887540550282
"ୁ",183,0.0219872642076174
"ଗ",167,0.0200648804517602
"ଣ",164,0.0197044334975369
"ଇ",163,0.0195842845127959
"ଜ",156,0.0187432416196083
"ଆ",154,0.0185029436501262
"ଲ",143,0.0171813048179743
"ଏ",141,0.0169410068484921
"ଙ",117,0.0140574312147062
"ଳ",106,0.0127357923825544
"ଡ",99,0.0118947494893668
"ଟ",96,0.0115343025351436
"ଖ",84,0.0100925147182506
"ଅ",83,0.00997236573350955
"ଉ",79,0.00949176979454524
"ୟ",73,0.00877087588609876
"ଶ",71,0.0085305779166166
"ଭ",69,0.00829027994713445
"ଚ",69,0.00829027994713445
"ଥ",64,0.00768953502342905
"ଯ",63,0.00756938603868797
"ଧ",54,0.00648804517601826
"ଷ",52,0.0062477472065361
"ୀ",48,0.00576715126757179
"ଘ",40,0.00480595938964316
"଼",40,0.00480595938964316
