"character","frequencyTot","frequencyRet"
"ਾ",29,0.0707317073170732
"ਰ",25,0.0609756097560976
"ਨ",23,0.0560975609756098
"ਲ",23,0.0560975609756098
"ਸ",20,0.0487804878048781
"ਿ",18,0.0439024390243902
"ਕ",16,0.0390243902439024
"ੱ",16,0.0390243902439024
"ਹ",13,0.0317073170731707
"ਬ",13,0.0317073170731707
"ਦ",13,0.0317073170731707
"ਮ",12,0.0292682926829268
"ਆ",11,0.0268292682926829
"ਤ",10,0.024390243902439
"ੀ",10,0.024390243902439
"ਵ",10,0.024390243902439
"ਗ",9,0.0219512195121951
"ਣ",9,0.0219512195121951
"ਪ",8,0.0195121951219512
"ੈ",8,0.0195121951219512
"ੇ",8,0.0195121951219512
"ਅ",8,0.0195121951219512
"ਜ",8,0.0195121951219512
"ੰ",8,0.0195121951219512
"ਈ",8,0.0195121951219512
"ੁ",8,0.0195121951219512
"ਂ",6,0.0146341463414634
"ਚ",6,0.0146341463414634
"ੋ",5,0.0121951219512195
"ਫ",5,0.0121951219512195
"ਉ",5,0.0121951219512195
"ਭ",5,0.0121951219512195
"ਡ",4,0.00975609756097561
"ਧ",4,0.00975609756097561
"ਇ",4,0.00975609756097561
"ਖ",4,0.00975609756097561
"ਜ਼",4,0.00975609756097561
