"character","frequencyTot","frequencyRet"
"a",280241,0.0893081985487788
"i",275000,0.0876379780293182
"e",251704,0.0802139258977873
"o",227911,0.0726314880386907
"z",196612,0.0626570114047284
"n",162220,0.0516968465306037
"s",131689,0.0419671188680105
"w",124568,0.0396977732623859
"c",124021,0.0395234533569966
"r",120502,0.0384020059217778
"y",119036,0.0379348158279925
"t",110954,0.0353592153245999
"m",107656,0.034308196955361
"d",104397,0.0332696072448245
"k",91674,0.0292149963558535
"ł",91545,0.0291738861770689
"p",91204,0.0290652150843125
"j",72075,0.0229691173325931
"u",66291,0.0211258516419692
"l",62185,0.0198173369591024
"ę",54206,0.0172745608620263
"b",52302,0.0166677873705069
"g",43585,0.0138898228087558
"ą",34483,0.0109891650777636
"ż",30942,0.00986070660430242
"h",30486,0.00971538690255199
"ś",27795,0.00885780945209055
"ó",21930,0.00698873039339254
"ć",19284,0.00614549370297227
"f",4375,0.00139424055955734
"ń",4333,0.00138085585018559
"ź",2465,0.000785554966699162
