"character","frequencyTot","frequencyRet"
"்",6725,0.155043227665706
"த",3634,0.0837809798270893
"க",3420,0.0788472622478386
"ி",2380,0.0548703170028818
"ன",2167,0.0499596541786744
"ட",1748,0.040299711815562
"ந",1742,0.0401613832853026
"ற",1722,0.039700288184438
"ு",1544,0.0355965417867435
"ப",1521,0.0350662824207493
"வ",1459,0.0336368876080692
"ல",1439,0.0331757925072046
"ா",1281,0.0295331412103746
"ய",1214,0.0279884726224784
"ர",1162,0.0267896253602305
"ம",1049,0.0241844380403458
"ச",1015,0.0234005763688761
"எ",829,0.0191123919308357
"ெ",776,0.0178904899135447
"ண",762,0.0175677233429395
"இ",660,0.0152161383285303
"ள",636,0.0146628242074928
"ை",606,0.013971181556196
"அ",566,0.0130489913544669
"ங",477,0.0109971181556196
"ொ",475,0.0109510086455331
"ழ",435,0.010028818443804
"ே",401,0.00924495677233429
"ோ",287,0.00661671469740634
