"character","frequency","frequencyRel"
"ا",26716,0.129081509397497
"ل",22652,0.109445813402909
"ي",14923,0.0721022370391844
"ن",12359,0.0597139682079528
"م",12015,0.0580518915784896
"ت",10293,0.0497318451949558
"ر",8782,0.0424312702324008
"ب",8124,0.0392520655167416
"أ",8016,0.0387302507609798
"ك",7791,0.0376431366864763
"ع",6689,0.0323186935304633
"ه",6614,0.0319563221722955
"و",6311,0.0304923418852974
"د",6117,0.0295550079721699
"س",5543,0.0267816591776586
"ة",5128,0.0247765376624632
"ف",4806,0.0232207566313959
"ح",4101,0.0198144658646181
"ق",4061,0.0196212011402619
"ج",2932,0.0141663042953085
"ذ",2549,0.012315794559598
"إ",2214,0.0106972024931149
"ط",2121,0.0102478620089868
"ش",1876,0.00906411557230516
"ى",1827,0.00882736628496884
"ص",1757,0.00848915301734551
"خ",1662,0.00803014929699957
"ض",1384,0.00668695946272407
"ز",1077,0.00520365270329033
"غ",1043,0.00503937768758757
"ث",1021,0.00493308208919167
