"character","frequency","frequencyRel"
"e",21712,0.142016169121687
"a",18713,0.122399989534549
"n",11111,0.0726760158028309
"o",11072,0.0724209204364093
"r",10914,0.0713874571570603
"t",9045,0.0591625022893174
"i",6372,0.0416786583291908
"h",6302,0.0412207948509981
"u",6140,0.0401611679443238
"l",5738,0.0375317233981319
"d",5421,0.0354582559326025
"z",4566,0.0298657805918212
"m",4503,0.0294537034614479
"s",4153,0.0271643860704848
"k",3628,0.0237304099840402
"g",3481,0.0227688966798357
"v",3036,0.0198581931398969
"p",3013,0.0197077522827765
"c",2766,0.0180921482954397
"b",2722,0.0178043483948615
"'",2709,0.0177193166060543
"ñ",1900,0.0124277229795139
"w",1159,0.00758091101750347
"ù",689,0.00450668480678161
"f",687,0.00449360299311897
"j",513,0.00335548520446875
"ʼ",336,0.00219774469532456
"y",224,0.00146516313021637
