character,frequencyTot,frequencyRet
e,61933,0.08489054406541999
o,58759,0.08053999448985215
a,49253,0.06751027669988746
n,45111,0.061832905451619666
t,44472,0.060957038665612154
s,32647,0.04474870573206152
l,31661,0.043397211755530365
i,28823,0.039507211851478215
v,28258,0.038732775647887845
m,27744,0.03802824430515254
d,27679,0.03793914987465099
k,26106,0.035783064656513555
u,23521,0.03223984768964435
p,23491,0.03219872718325902
r,22112,0.03030855457308005
í,21707,0.029753427736878103
j,20627,0.028273089507006247
á,17130,0.02347980914602303
c,16416,0.022501141094052192
h,15863,0.021743153093015957
z,14148,0.019392430811321297
y,13944,0.019112811367901057
ě,13879,0.01902371693739951
b,12744,0.017467991112487886
ř,7964,0.010916123761758751
š,7827,0.010728340115932414
ž,7689,0.0105391857865599
č,7037,0.009645500114452076
é,6799,0.009319277430461797
ý,5390,0.007387984313897498
ů,2976,0.0040791542334246665
f,1816,0.0024891613198586003
g,1298,0.001779147242938581
