"character","frequency","frequencyRel"
"d",244266,0.107147368975137
"a",204262,0.0895995999508712
"n",179652,0.0788044145772288
"e",178965,0.0785030617795168
"y",178151,0.0781460003860123
"i",166237,0.0729199199901742
"r",140096,0.0614531609144983
"o",122120,0.0535679820328812
"w",110386,0.0484208587019459
"l",102234,0.0448449809625744
"h",96679,0.0424082782096047
"f",74397,0.0326342708753707
"g",71603,0.0314086817679364
"t",71412,0.0313248995490674
"m",61698,0.0270638499464847
"s",59740,0.0262049725404874
"c",55323,0.0242674538978471
"u",51131,0.0224286315863352
"b",46306,0.020312143596582
"'",31056,0.0136227255978804
"p",22404,0.00982752267822364
"ô",3797,0.00166555541908655
