character,frequency,frequencyRel
e,3880928,0.15995877018151639
n,2310683,0.09523856432258904
i,2030662,0.0836970426079377
r,1749507,0.07210878123581632
s,1625909,0.0670144883046166
t,1607104,0.0662394095932199
a,1451529,0.05982713251129789
h,1127428,0.046468781783173166
d,1125029,0.04636990308981285
l,908355,0.03743933118270458
u,880315,0.036283616900994194
c,737337,0.030390545696629453
g,684263,0.028203014320470503
m,641382,0.02643560404536269
o,617701,0.025459553050170693
b,481834,0.019859573295778938
f,413776,0.017054451948252357
w,392380,0.016172580950696173
k,371671,0.015319025777374477
z,283470,0.011683677868632052
p,236064,0.009729762346564915
v,209950,0.008653431292621085
ü,149531,0.006163163775265175
ä,129925,0.0053550705439094765
ö,67777,0.0027935394747319806
j,52535,0.00216531561304048
ß,41322,0.0017031535502438128
y,27811,0.001146275673632222
x,14048,0.0005790112064717362
q,6864,0.000282910942569903
