"character","frequencyTot","frequencyRet"
"ރ",801,0.164984552008239
"އ",503,0.103604531410917
"ަ",469,0.0966014418125644
"ު",387,0.0797116374871267
"ހ",379,0.0780638516992791
"މ",257,0.0529351184346035
"ް",238,0.0490216271884655
"ި",226,0.0465499485066941
"ނ",193,0.0397528321318229
"ސ",165,0.0339855818743563
"ޓ",139,0.0286302780638517
"ޮ",117,0.0240988671472709
"ެ",103,0.0212152420185376
"ގ",99,0.0203913491246138
"ފ",97,0.0199794026776519
"ކ",78,0.0160659114315139
"ﷲ",55,0.0113285272914521
"ޑ",55,0.0113285272914521
"ީ",52,0.0107106076210093
"ާ",52,0.0107106076210093
"ލ",49,0.0100926879505664
"ވ",48,0.00988671472708548
"ޅ",43,0.00885684860968074
"ޕ",42,0.00865087538619979
"ޖ",33,0.00679711637487127
"ޗ",32,0.00659114315139032
"ޭ",31,0.00638516992790937
