"character","frequency","frequencyRel"
"α",19643,0.106723533726332
"ο",15420,0.0837793050990193
"τ",13423,0.072929287441254
"ε",12967,0.0704517671348238
"ι",12109,0.0657901170845671
"ν",10124,0.0550052973296026
"σ",8729,0.0474260411290104
"ρ",7781,0.0422754068077477
"κ",7496,0.0407269566162288
"π",7379,0.0400912770639211
"μ",6170,0.0335225883567412
"υ",6032,0.0327728124745321
"λ",5881,0.0319524055309554
"ς",5151,0.0279861997772405
"ά",5053,0.0274537502377007
"η",4638,0.0251989894325066
"έ",4246,0.0230691912743473
"ί",3937,0.0213903452772269
"ό",3528,0.0191681834234332
"γ",2908,0.0157996251120589
"δ",2884,0.0156692293064573
"ω",2285,0.0124147673249844
"ύ",2168,0.0117790877726766
"χ",2166,0.0117682214555432
"θ",2118,0.01150742984434
"β",1940,0.0105403276194616
"φ",1865,0.0101328407269566
"ή",1788,0.00971448751731819
"ώ",1590,0.0086387221211051
"ξ",1211,0.00657955502431338
"ζ",793,0.00430849474341909
"ψ",326,0.00177120969275488
"'",246,0.00133655700741626
