"character","frequency","frequencyRel"
"e",5643831,0.124616652661594
"t",4103641,0.0906090216281945
"a",3742335,0.0826313298251356
"o",3375826,0.074538754985395
"i",3258369,0.0719452864404168
"n",3066905,0.0677177320035105
"s",3015476,0.0665821718087185
"r",2763390,0.061016074329391
"h",2458109,0.0542754231048621
"l",1901745,0.0419908207945848
"d",1798009,0.0397003140305617
"c",1289678,0.0284762877150819
"u",1244788,0.0274851096415395
"m",1146977,0.0253254277847506
"w",950891,0.0209958188801251
"g",915485,0.0202140489787697
"y",911236,0.0201202304081642
"f",881907,0.0194726415973171
"p",847612,0.0187154027460777
"b",707604,0.0156240046680977
"v",459566,0.0101472876485986
"k",382707,0.00845022915997316
"'",178627,0.00394411151130898
"x",79361,0.00175230303173088
"j",75828,0.00167429385075905
"z",44715,0.000987314046746466
"q",38117,0.000841629196462821
"’",5797,0.000127998647634782
