"character","frequency","frequencyRel"
"a",94239,0.122687861271676
"e",84971,0.110622038223194
"i",74986,0.0976227672759465
"s",66525,0.086607561318544
"t",56777,0.0739168359110556
"l",47161,0.0613979586522939
"u",44864,0.0584075404884653
"n",38036,0.0495183044315992
"k",37063,0.0482515752746967
"d",31011,0.0403725980315576
"o",30426,0.0396109982815185
"m",28451,0.0370397854501901
"r",23259,0.0302804249336041
"v",19009,0.0247474352965682
"g",14670,0.0190985783471333
"p",14033,0.0182692808415352
"j",12891,0.0167825339790658
"h",12719,0.0165586106337551
"ä",10160,0.0132270999323022
"õ",8997,0.0117130135916263
"b",7166,0.00932927146799979
"ü",5487,0.00714341509139197
"ö",2534,0.00329896370358798
