character,frequencyTot,frequencyRet
e,2720673,0.1446436500557591
s,1453738,0.07728748384857685
a,1421342,0.0755651615822823
n,1356462,0.07211583855977366
t,1353522,0.07195953446473397
i,1350346,0.07179068351036455
r,1255105,0.0667272283009511
l,1108112,0.05891239570157359
u,1055547,0.056117795444511835
o,999310,0.05312797456262499
d,694508,0.03692328042103007
c,618086,0.03286033091384518
m,531949,0.028280886752473006
p,508785,0.027049380610466377
é,415778,0.022104695247419814
v,265583,0.0141196294125603
g,217400,0.011557996687629137
f,195263,0.010381090649570046
b,176774,0.009398129284539803
h,175945,0.009354055782911262
q,156140,0.008301129727720393
',142055,0.007552305517300631
x,95660,0.005085731201189527
à,82940,0.004409476749181051
j,78896,0.004194478871514206
è,75211,0.00399856710613282
’,66982,0.0035610751339962047
y,65421,0.0034780851025822714
z,46051,0.002448285673698295
k,25248,0.0013423012896470123
ê,23663,0.0012580353064368366
ç,12503,0.0006647177211841173
w,11783,0.0006264391672968451
â,8523,0.0004531223816405848
ô,8446,0.00044902870296097374
î,7949,0.00042260586784712055
œ,4621,0.0002456738854348401
́,4589,0.00024397261637318357
û,3523,0.00018729909075675
ù,2555,0.0001358357016416396
ï,2382,0.0001266382157770589
̂,1453,7.72482483308424e-05
̀,966,5.1357059798756885e-05
á,811,4.3116537781358005e-05
ë,803,4.2691220515943865e-05
í,594,3.157980695699957e-05
ü,594,3.157980695699957e-05
ö,527,2.8017774859156188e-05
ó,470,2.498738934308047e-05
