"character","frequency","frequencyRel"
"a",51165,0.214497723594959
"n",21413,0.0897691733673187
"i",19095,0.0800514811305726
"e",16923,0.0709458609674093
"k",13695,0.0574131989569621
"u",13293,0.0557279046173711
"m",11842,0.0496449143518324
"t",11714,0.0491083032188283
"s",10726,0.0449663360359529
"r",10363,0.0434445404009491
"d",8923,0.037407665154653
"g",8698,0.0364644033974192
"l",7839,0.0328632396220245
"b",6603,0.0276815883689537
"p",6562,0.0275097051154133
"h",6030,0.025279415093865
"y",5375,0.0225334753116956
"o",3689,0.0154653005441572
"j",2326,0.00975123043255888
"c",1265,0.00530322721289208
"w",627,0.00262855609682477
