character,frequency,frequencyRel
a,51165,0.2144968243653971
n,21413,0.08976879703188212
i,19095,0.08005114553419834
e,16923,0.07094556354413399
k,13695,0.057412958266082545
u,13293,0.05572767099167837
m,11842,0.049644706227597625
t,11714,0.04910809734420525
s,10726,0.04496614752552036
r,10363,0.043444358270274805
d,8923,0.037407508332110595
g,8698,0.036464250529272435
l,7839,0.03286310185088142
b,6603,0.027681472320623807
p,6562,0.027509589787662186
h,6030,0.02527930911606263
y,5375,0.022533380845578217
o,3689,0.015465235709644287
j,2326,0.0097511895528958
c,1265,0.005303204980401199
w,627,0.0026285450772423335
f,242,0.0010145261701637075
