"character","frequency","frequencyRel"
"e",481973,0.112098501493994
"a",473407,0.110106199510693
"i",467384,0.10870535491048
"o",388224,0.0902941215462366
"n",311275,0.0723971281639074
"t",290562,0.0675796461442816
"r",278173,0.064698181134812
"l",274988,0.0639574057651163
"s",226233,0.0526178443366967
"c",182972,0.0425560913481856
"d",153258,0.0356451339431182
"u",133914,0.0311460574120681
"p",120850,0.0281075991923804
"m",111432,0.0259171368904041
"g",74701,0.0173741478466695
"v",73581,0.0171136554089743
"f",49888,0.0116030774390523
"b",41034,0.00954379168605824
"z",38963,0.00906211325885575
"h",38111,0.00886395294018047
"q",18182,0.00422881562694134
"'",15507,0.00360665734941037
"è",14855,0.00345501353746637
"à",8053,0.00187298714353529
"ò",7144,0.00166156962044159
"y",4138,0.000962426524270336
"k",3903,0.000907769628861074
"ù",3609,0.000839390363966081
"w",3548,0.000825202829413038
"ì",2443,0.000568199129722676
"é",2076,0.000482841339870763
"j",1781,0.000414229492442114
"’",1508,0.000350734460753907
"x",993,0.000230954455920842
