character,frequencyTot,frequencyRet
e,481973,0.11209756290432682
a,473407,0.11010527760237325
i,467384,0.10870444473129383
o,388224,0.09029336552248647
n,311275,0.07239652198991298
t,290562,0.06757908030658773
r,278173,0.0646976394233397
l,274988,0.06395687025608285
s,226233,0.05261740377268969
c,182972,0.04255573503024129
d,153258,0.03564483548993682
u,133914,0.031145796629209563
p,120850,0.028107363850232058
m,111432,0.025916919888779963
g,74701,0.017374002374647785
v,73581,0.017113512118029996
f,49888,0.011602980287632412
b,41034,0.009543711776834276
z,38963,0.009062037382677631
h,38111,0.008863878723179097
q,18182,0.0042287802194862995
',15543,0.0036150000523306317
è,14855,0.003454984608979704
à,8053,0.0018729714611991622
ò,7144,0.0016615557082834739
y,4138,0.0009624184659682272
k,3903,0.0009077620281957445
ù,3609,0.0008393833358335747
w,3548,0.0008251959200713557
ì,2443,0.0005681943722475541
é,2076,0.0004828372970879748
j,1781,0.00041422602413953907
’,1508,0.00035073152408895275
x,993,0.0002309525221620226
