"character","frequency","frequencyRel"
"a",1969731,0.1651886968329
"i",1244021,0.104328056888358
"u",978529,0.0820629468304053
"e",787785,0.0660664717844753
"n",772079,0.064749310368801
"r",698738,0.0585986714163645
"b",662341,0.0555462886297672
"o",585489,0.049101204641648
"m",542179,0.045469072914101
"y",527127,0.0442067582809207
"k",524144,0.0439565932164258
"g",431038,0.0361483905698086
"t",342751,0.0287443265238621
"w",334833,0.0280802946832083
"s",298946,0.0250706823233265
"h",294935,0.0247343054967462
"z",260481,0.0218448696495769
"d",168076,0.014095455373798
"c",97116,0.0081444956096157
"’",84753,0.00710769014788252
"j",72992,0.00612137056239002
"f",62730,0.00526076248600841
"v",56844,0.00476714144356228
"l",55504,0.00465476424395681
"p",52682,0.00441810121613096
"'",12531,0.00105089454347475
