character,frequencyTot,frequencyRet
а,49539,0.1308724034354039
н,27354,0.07226394807267078
к,23955,0.06328445112527706
т,21749,0.05745662815794827
е,21585,0.05702337205339617
р,20757,0.054835957086511206
л,19852,0.052445123094928
ы,19630,0.051858642270473335
и,18088,0.047784978165477415
д,16075,0.042467023662652
у,15490,0.040921567436048495
о,15088,0.03985956161879275
б,13281,0.03508581905217302
м,11353,0.029992418018170337
г,9872,0.026079904049623674
ү,9395,0.024819762818700814
с,8571,0.02264291507387809
ө,8102,0.02140390828707972
ш,6999,0.018489996803415325
п,6622,0.01749403612404862
й,6318,0.016690927247317907
ж,6205,0.01639240322405945
ч,6107,0.01613350628353442
з,5957,0.015737235456200184
э,4074,0.010762715670397776
я,1799,0.004752608122495238
в,1458,0.0038517524416887476
ң,1050,0.0027738957913396333
ю,750,0.0019813541366711664
ц,564,0.0014899783107767172
