"character","frequency","frequencyRel"
"i",27181,0.121002889182704
"a",25994,0.115718667503595
"l",15662,0.0697232349942795
"e",15429,0.0686859783378073
"n",14586,0.0649331570442192
"t",14493,0.0645191447306917
"r",10014,0.0445797775017696
"m",9607,0.0427679171619233
"s",8501,0.0378442868526606
"u",8473,0.0377196379840717
"d",7897,0.0351554326873851
"j",7254,0.0322929604551464
"k",7119,0.0316919748387355
"o",6857,0.0305256175683677
"ħ",6796,0.0302540611046561
"g",4724,0.0210300448290752
"f",4165,0.0185415192026034
"b",3895,0.0173395479697816
"p",3507,0.0156122707907635
"h",3448,0.0153496178176654
"w",3197,0.0142322297456718
"x",2791,0.0124248211511323
"q",2425,0.0107954823688627
"z",2069,0.0092106610396606
"'",2047,0.00911272264291215
"ġ",1923,0.00856070622487546
"ż",1573,0.00700259536751383
"v",1131,0.00503492394193143
"ċ",1057,0.00470549478923212
"c",454,0.00202109236926337
"à",201,0.00089480080665625
