character,frequency,frequencyRel
а,47917,0.1237314920493924
э,33364,0.08615267025765236
н,29520,0.07622667623803794
г,24963,0.06445957042446278
л,20691,0.05342839288757598
р,19631,0.05069125613919115
х,19253,0.0497151828458992
д,19044,0.04917550210966106
о,18865,0.04871328750781117
й,17014,0.043933627016056145
и,16552,0.0427406485464771
ү,13541,0.034965630858376416
у,12721,0.03284822318509758
т,12634,0.032623571395371656
с,11351,0.029310603048034168
б,11241,0.02902656055527725
ө,10073,0.02601054572309472
м,8741,0.022571049356256423
ж,6747,0.01742213362391741
в,5511,0.014230528887121513
ч,5317,0.013729581218077496
з,3576,0.009233963219079393
ш,3382,0.008733015550035377
ы,3175,0.008198499222756452
ь,3105,0.008017744909183869
ц,2588,0.0066827451932263615
я,2339,0.006039776277803887
ю,1560,0.004028238988188997
е,1279,0.0033026395294190555
ё,617,0.0015932201639183403
к,511,0.0013195064890798574
