character,frequencyTot,frequencyRet
e,287459,0.18828374050996474
n,144312,0.09452340389576959
a,114490,0.07499019147421324
i,103721,0.06793656782161649
t,102408,0.06707656152058022
r,87878,0.05755950778557875
o,87058,0.057022413218290297
d,80434,0.05268373710399919
s,64141,0.04201193004932755
l,56990,0.037328072426547405
g,47421,0.03106044082364107
h,43361,0.02840116772218849
k,42151,0.027608625738750652
m,37318,0.024443042758622496
v,32782,0.02147199281079272
j,32332,0.02117724579215881
u,28618,0.01874460039836697
p,25795,0.016895554101470263
b,25367,0.016615216937080683
w,24764,0.016220255932111245
z,20957,0.013726696154468398
c,19349,0.012673466807883239
f,12759,0.008357060468333363
