"character","frequency","frequencyRel"
"a",166721,0.122584013146527
"e",162340,0.11936281988596
"o",146202,0.107497123278103
"s",101549,0.074665362797828
"r",87262,0.0641606405623302
"m",76732,0.0564183066126002
"i",73359,0.0539382598497855
"n",70375,0.0517442309318373
"u",67406,0.0495612309796295
"d",62530,0.0459760818496311
"t",61486,0.0452084658341023
"c",49145,0.03613456808732
"l",39273,0.0288760381014003
"p",35756,0.0262901132674782
"v",23212,0.0170669568510097
"h",18530,0.0136244490112532
"g",15952,0.0117289374326774
"b",14292,0.0105083985574113
"f",13801,0.0101473837455103
"q",13098,0.00963049288447894
"ã",11649,0.00856509479396054
"á",8574,0.00630415681718754
"é",6796,0.004996856744764
"ç",5885,0.00432703089213304
"ê",5650,0.00415424376220079
"z",5326,0.0039160181022091
"j",4693,0.00345059574796607
