"character","frequencyTot","frequencyRet"
"a",30374,0.139186619314927
"e",20586,0.0943338297628594
"i",20244,0.092766639935846
"s",18894,0.0865803643028984
"n",16789,0.0769343567418948
"l",13340,0.0611295681063123
"r",12967,0.0594203230610608
"u",12942,0.0593057624011914
"t",11666,0.0534585863214572
"c",9132,0.0418467178370947
"d",8722,0.0399679230152366
"o",6376,0.029217550693092
"p",5693,0.02608775346546
"g",5545,0.0254095543590331
"m",5196,0.0238102875472563
"v",4376,0.0200526979035399
"h",4315,0.0197731698934586
"f",2211,0.0101317447588498
"z",2098,0.00961393057624012
"b",2044,0.00936647955092221
"q",1292,0.00592049490205064
"’",1132,0.00518730667888647
"ü",837,0.00383549089242754
"j",496,0.00227288349180891
"x",282,0.00129224424332684
"à",269,0.00123267270019475
