"character","frequency","frequencyRel"
"e",22082,0.131524244608173
"a",16395,0.0976514804071641
"i",15010,0.0894021787686205
"t",13093,0.0779841923129612
"r",11827,0.0704436754361409
"u",10328,0.0615153699082154
"n",9995,0.0595319638102839
"c",9295,0.0553626416825002
"s",8817,0.0525155902866707
"o",7677,0.0457255513928514
"l",6316,0.0376191979415461
"m",5979,0.0356119671457416
"ă",5789,0.0344802939967718
"p",5079,0.0302514101243054
"d",4885,0.0290959122774624
"v",2600,0.0154860536174826
"f",2037,0.0121327273918508
"b",1923,0.0114537235024688
"î",1472,0.00876748881728244
"ţ",1187,0.00706997909382762
"z",1171,0.00697468030233542
"g",1053,0.00627185171508044
"ț",926,0.0055154175576111
"ş",731,0.00435396353629991
"ș",677,0.00403233011501373
"â",495,0.00294830636178995
"x",359,0.00213826663410625
"h",343,0.00204296784261405
"j",321,0.00191193200431227
