character,frequency,frequencyRel
e,22082,0.13152424460817305
a,16395,0.09765148040716409
i,15010,0.08940217876862049
t,13093,0.07798419231296123
r,11827,0.07044367543614087
u,10328,0.06151536990821535
n,9995,0.05953196381028393
c,9295,0.055362641682500165
s,8817,0.052515590286670674
o,7677,0.0457255513928514
l,6316,0.037619197941546105
m,5979,0.035611967145741635
ă,5789,0.03448029399677175
p,5079,0.03025141012430536
d,4885,0.029095912277462433
v,2600,0.015486053617482563
f,2037,0.012132727391850761
b,1923,0.011453723502468835
î,1472,0.008767488817282437
ţ,1187,0.007069979093827616
z,1171,0.006974680302335416
g,1053,0.006271851715080438
ț,926,0.005515417557611098
ş,731,0.004353963536299905
ș,677,0.004032330115013729
â,495,0.0029483063617899495
x,359,0.0021382666341062465
h,343,0.002042967842614046
j,321,0.0019119320043122702
