character,frequencyTot,frequencyRet
e,1197586,0.1296128161473309
a,1102283,0.11929832498152812
o,773803,0.0837474602853182
s,700774,0.0758436484919076
n,659545,0.07138149980535122
r,619396,0.06703623779034838
i,596820,0.06459287344128106
l,514652,0.055699962304048424
d,445811,0.04824941104810655
t,441092,0.04773868123045733
c,424538,0.04594706830370058
u,358107,0.038757347490762435
m,257113,0.027826928502912265
p,230652,0.024963096821450956
b,122252,0.013231138306262344
g,114292,0.012369640245552923
v,96852,0.01048213695676243
f,85662,0.009271061165388254
h,78069,0.008449282927327119
ó,75626,0.008184880947137029
y,75280,0.008147433920880062
í,47874,0.005181326401809406
j,41422,0.004483036767676593
q,41116,0.00444991887740309
á,40526,0.00438606412164699
z,34662,0.003751412786471104
ñ,16897,0.0018287352678149629
x,14202,0.0015370597309290466
ú,12147,0.0013146503697785614
k,9068,0.0009814151274513867
w,5877,0.0006360583043705117
é,3708,0.00040131090566715286
',684,7.40282253172418e-05
