"character","frequency","frequencyRel"
"a",26353,0.102740740740741
"e",23572,0.0918986354775828
"t",22131,0.086280701754386
"r",22067,0.0860311890838207
"n",19986,0.0779181286549708
"d",13994,0.0545575048732943
"i",13949,0.0543820662768031
"l",11881,0.0463196881091618
"s",11653,0.0454307992202729
"g",10812,0.0421520467836257
"m",8395,0.032729044834308
"o",8182,0.0318986354775828
"k",7690,0.0299805068226121
"ä",7233,0.0281988304093567
"v",7113,0.0277309941520468
"h",6366,0.0248187134502924
"u",5736,0.0223625730994152
"å",5049,0.0196842105263158
"j",5022,0.0195789473684211
"f",4732,0.018448343079922
"ö",3813,0.0148654970760234
"p",3731,0.0145458089668616
"b",3645,0.0142105263157895
"c",1945,0.00758284600389864
"y",1119,0.00436257309941521
