"character","frequency","frequencyRel"
"்",6725,0.15516127543722
"த",3634,0.0838447695076369
"க",3420,0.0789072954639841
"ி",2380,0.0549120945041761
"ன",2167,0.0499976927691385
"ட",1748,0.0403303954593697
"ந",1742,0.0401919616076785
"ற",1722,0.0397305154353745
"ு",1544,0.0356236445018689
"ப",1521,0.0350929814037193
"வ",1459,0.0336624982695769
"ல",1439,0.0332010520972729
"ா",1281,0.0295556273360712
"ய",1214,0.0280097826588528
"ர",1162,0.0268100226108624
"ம",1049,0.0242028517373448
"ச",1015,0.023418393244428
"எ",829,0.0191269438420008
"ெ",776,0.0179041114853952
"ண",762,0.0175810991647824
"இ",660,0.015227723686032
"ள",636,0.0146739882792672
"ை",606,0.0139818190208112
"அ",566,0.0130589266762032
"ங",477,0.0110054912094504
"ொ",475,0.01095934659222
"ழ",435,0.010036454247612
"ே",401,0.00925199575469522
"ோ",287,0.00662175257256241
