character,frequencyTot,frequencyRet
்,6725,0.15504322766570605
த,3634,0.08378097982708933
க,3420,0.07884726224783861
ி,2380,0.05487031700288184
ன,2167,0.04995965417867435
ட,1748,0.04029971181556196
ந,1742,0.040161383285302596
ற,1722,0.03970028818443804
ு,1544,0.03559654178674351
ப,1521,0.03506628242074928
வ,1459,0.03363688760806916
ல,1439,0.033175792507204614
ா,1281,0.02953314121037464
ய,1214,0.027988472622478385
ர,1162,0.026789625360230548
ம,1049,0.024184438040345823
ச,1015,0.023400576368876082
எ,829,0.019112391930835734
ெ,776,0.01789048991354467
ண,762,0.017567723342939483
இ,660,0.01521613832853026
ள,636,0.014662824207492795
ை,606,0.013971181556195965
அ,566,0.013048991354466858
ங,477,0.010997118155619597
ொ,475,0.01095100864553314
ழ,435,0.010028818443804035
ே,401,0.009244956772334294
ோ,287,0.00661671469740634
