"character","frequency","frequencyRel"
"a",74914,0.115659250316112
"e",56072,0.0865692058056578
"i",56001,0.0864595893551619
"r",46745,0.0721693095553123
"l",41904,0.0646953203039
"n",41355,0.0638477226796436
"k",32374,0.0499820136387567
"d",29753,0.045935468332425
"ı",28410,0.0438620191350181
"y",24008,0.0370657992042772
"u",22416,0.0346079204833005
"t",21975,0.0339270633752912
"m",21407,0.0330501317713246
"o",20998,0.032418679260722
"s",20712,0.0319771256714008
"b",18160,0.028037109028227
"ü",13071,0.0201802341469138
"ş",10677,0.016484152703435
"z",10056,0.0155253947350138
"g",7512,0.0115977292411917
"ç",7291,0.0112565287403526
"c",7092,0.0109492939002305
"v",6389,0.00986393665095498
"h",5929,0.00915374556323557
"p",5312,0.00820116316949019
"ö",4908,0.00757743012723228
"ğ",4855,0.00749560376277765
"f",3516,0.00542833014004659
"'",2100,0.00324217670480599
"̇",819,0.00126444891487433
"j",664,0.00102514539618627
