"character","frequency","frequencyRel"
"n",512,0.122283257702412
"h",380,0.0907571053260091
"i",269,0.0642464771913064
"c",265,0.0632911392405063
"t",255,0.0609027943635061
"g",206,0.0491999044662049
"a",151,0.0360640076427036
"m",140,0.0334368282780033
"đ",113,0.0269882971101027
"u",101,0.0241222832577024
"à",101,0.0241222832577024
"o",96,0.0229281108192023
"y",92,0.0219727728684022
"l",85,0.020300931454502
"v",67,0.0160019106759016
"b",64,0.0152854072128015
"ó",59,0.0140912347743014
"r",59,0.0140912347743014
"ư",57,0.0136135657989014
"ô",53,0.0126582278481013
"k",52,0.0124193933604012
"á",49,0.0117028898973012
"p",43,0.010269882971101
"ì",42,0.010031048483401
"s",42,0.010031048483401
"ê",37,0.00883687604490088
"ấ",35,0.00835920706950084
"ả",35,0.00835920706950084
"ế",35,0.00835920706950084
"e",34,0.00812037258180081
"ờ",33,0.00788153809410079
"â",33,0.00788153809410079
"ạ",30,0.00716503463100072
"ớ",30,0.00716503463100072
"ố",24,0.00573202770480057
"ề",24,0.00573202770480057
"ộ",23,0.00549319321710055
"ơ",23,0.00549319321710055
"ắ",23,0.00549319321710055
"ậ",22,0.00525435872940053
"ợ",20,0.00477668975400048
