"character","frequencyTot","frequencyRet"
"e",11044,0.124936366618777
"t",8146,0.0921524486125095
"a",7574,0.0856816407796645
"i",6687,0.0756473635983122
"n",6471,0.0732038417593357
"o",6392,0.0723101462719323
"r",5752,0.065070081563854
"s",5598,0.0633279409934726
"h",4400,0.0497754448680385
"l",3707,0.0419358123013224
"d",3409,0.0385646571716235
"c",2897,0.0327726054051608
"u",2341,0.0264827991900178
"m",2153,0.0243560301820198
"p",1875,0.0212111270744482
"f",1864,0.0210866884622781
"g",1732,0.019593425116237
"w",1568,0.0177381585347919
"b",1409,0.0159394549588787
"y",1380,0.0156113895267939
"v",917,0.0103736552145435
"k",570,0.00644818263063226
"x",155,0.00175345317148772
"j",152,0.0017195153681686
"z",95,0.00107469710510538
